Total Nacional;Comunidades y Ciudades Autónomas;Situación laboral;Total
Total Nacional;01 Andalucía;Total;539,79
Total Nacional;01 Andalucía;Colegiados no jubilados;441,85
Total Nacional;01 Andalucía;Colegiados jubilados;97,94
Total Nacional;01 Andalucía;No consta;0,00
Total Nacional;02 Aragón;Total;732,76
Total Nacional;02 Aragón;Colegiados no jubilados;571,37
Total Nacional;02 Aragón;Colegiados jubilados;161,39
Total Nacional;02 Aragón;No consta;0,00
Total Nacional;03 Asturias, Principado de;Total;714,12
Total Nacional;03 Asturias, Principado de;Colegiados no jubilados;548,90
Total Nacional;03 Asturias, Principado de;Colegiados jubilados;165,22
Total Nacional;03 Asturias, Principado de;No consta;0,00
Total Nacional;04 Balears, Illes;Total;530,40
Total Nacional;04 Balears, Illes;Colegiados no jubilados;458,18
Total Nacional;04 Balears, Illes;Colegiados jubilados;72,22
Total Nacional;04 Balears, Illes;No consta;0,00
Total Nacional;05 Canarias;Total;558,45
Total Nacional;05 Canarias;Colegiados no jubilados;494,64
Total Nacional;05 Canarias;Colegiados jubilados;63,81
Total Nacional;05 Canarias;No consta;0,00
Total Nacional;06 Cantabria;Total;672,58
Total Nacional;06 Cantabria;Colegiados no jubilados;547,58
Total Nacional;06 Cantabria;Colegiados jubilados;125,00
Total Nacional;06 Cantabria;No consta;0,00
Total Nacional;07 Castilla y León;Total;676,92
Total Nacional;07 Castilla y León;Colegiados no jubilados;522,26
Total Nacional;07 Castilla y León;Colegiados jubilados;154,66
Total Nacional;07 Castilla y León;No consta;0,00
Total Nacional;08 Castilla - La Mancha;Total;483,94
Total Nacional;08 Castilla - La Mancha;Colegiados no jubilados;402,31
Total Nacional;08 Castilla - La Mancha;Colegiados jubilados;81,63
Total Nacional;08 Castilla - La Mancha;No consta;0,00
Total Nacional;09 Cataluña;Total;622,23
Total Nacional;09 Cataluña;Colegiados no jubilados;498,63
Total Nacional;09 Cataluña;Colegiados jubilados;123,60
Total Nacional;09 Cataluña;No consta;0,00
Total Nacional;10 Comunitat Valenciana;Total;571,24
Total Nacional;10 Comunitat Valenciana;Colegiados no jubilados;471,26
Total Nacional;10 Comunitat Valenciana;Colegiados jubilados;99,97
Total Nacional;10 Comunitat Valenciana;No consta;0,00
Total Nacional;11 Extremadura;Total;591,07
Total Nacional;11 Extremadura;Colegiados no jubilados;497,60
Total Nacional;11 Extremadura;Colegiados jubilados;93,47
Total Nacional;11 Extremadura;No consta;0,00
Total Nacional;12 Galicia;Total;576,18
Total Nacional;12 Galicia;Colegiados no jubilados;473,36
Total Nacional;12 Galicia;Colegiados jubilados;102,82
Total Nacional;12 Galicia;No consta;0,00
Total Nacional;13 Madrid, Comunidad de;Total;720,77
Total Nacional;13 Madrid, Comunidad de;Colegiados no jubilados;623,74
Total Nacional;13 Madrid, Comunidad de;Colegiados jubilados;97,03
Total Nacional;13 Madrid, Comunidad de;No consta;0,00
Total Nacional;14 Murcia, Región de;Total;551,58
Total Nacional;14 Murcia, Región de;Colegiados no jubilados;488,87
Total Nacional;14 Murcia, Región de;Colegiados jubilados;62,72
Total Nacional;14 Murcia, Región de;No consta;0,00
Total Nacional;15 Navarra, Comunidad Foral de;Total;698,65
Total Nacional;15 Navarra, Comunidad Foral de;Colegiados no jubilados;561,93
Total Nacional;15 Navarra, Comunidad Foral de;Colegiados jubilados;136,72
Total Nacional;15 Navarra, Comunidad Foral de;No consta;0,00
Total Nacional;16 País Vasco;Total;706,59
Total Nacional;16 País Vasco;Colegiados no jubilados;574,42
Total Nacional;16 País Vasco;Colegiados jubilados;132,17
Total Nacional;16 País Vasco;No consta;0,00
Total Nacional;17 Rioja, La;Total;600,48
Total Nacional;17 Rioja, La;Colegiados no jubilados;473,65
Total Nacional;17 Rioja, La;Colegiados jubilados;126,83
Total Nacional;17 Rioja, La;No consta;0,00
Total Nacional;18 Ceuta;Total;440,19
Total Nacional;18 Ceuta;Colegiados no jubilados;386,98
Total Nacional;18 Ceuta;Colegiados jubilados;53,21
Total Nacional;18 Ceuta;No consta;0,00
Total Nacional;19 Melilla;Total;385,88
Total Nacional;19 Melilla;Colegiados no jubilados;342,74
Total Nacional;19 Melilla;Colegiados jubilados;43,14
Total Nacional;19 Melilla;No consta;0,00
