Causa de muerte (lista reducida);Mes de defunción;Sexo;Periodo;Total
001-008 I.Enfermedades infecciosas y parasitarias;Julio;Mujeres;2018;219
001-008 I.Enfermedades infecciosas y parasitarias;Agosto;Hombres;2022;1.273
001-008 I.Enfermedades infecciosas y parasitarias;Agosto;Hombres;2021;2.144
001-008 I.Enfermedades infecciosas y parasitarias;Agosto;Hombres;2020;980
001-008 I.Enfermedades infecciosas y parasitarias;Agosto;Hombres;2019;235
001-008 I.Enfermedades infecciosas y parasitarias;Agosto;Hombres;2018;250
001-008 I.Enfermedades infecciosas y parasitarias;Agosto;Mujeres;2022;1.321
001-008 I.Enfermedades infecciosas y parasitarias;Agosto;Mujeres;2021;1.886
001-008 I.Enfermedades infecciosas y parasitarias;Agosto;Mujeres;2020;1.042
001-008 I.Enfermedades infecciosas y parasitarias;Agosto;Mujeres;2019;253
001-008 I.Enfermedades infecciosas y parasitarias;Agosto;Mujeres;2018;290
001-008 I.Enfermedades infecciosas y parasitarias;Septiembre;Hombres;2022;646
001-008 I.Enfermedades infecciosas y parasitarias;Septiembre;Hombres;2021;1.201
001-008 I.Enfermedades infecciosas y parasitarias;Septiembre;Hombres;2020;2.198
001-008 I.Enfermedades infecciosas y parasitarias;Septiembre;Hombres;2019;247
001-008 I.Enfermedades infecciosas y parasitarias;Septiembre;Hombres;2018;225
001-008 I.Enfermedades infecciosas y parasitarias;Septiembre;Mujeres;2022;603
001-008 I.Enfermedades infecciosas y parasitarias;Septiembre;Mujeres;2021;966
001-008 I.Enfermedades infecciosas y parasitarias;Septiembre;Mujeres;2020;1.898
001-008 I.Enfermedades infecciosas y parasitarias;Septiembre;Mujeres;2019;213
001-008 I.Enfermedades infecciosas y parasitarias;Septiembre;Mujeres;2018;236
001-008 I.Enfermedades infecciosas y parasitarias;Octubre;Hombres;2022;710
001-008 I.Enfermedades infecciosas y parasitarias;Octubre;Hombres;2021;621
001-008 I.Enfermedades infecciosas y parasitarias;Octubre;Hombres;2020;3.517
001-008 I.Enfermedades infecciosas y parasitarias;Octubre;Hombres;2019;232
001-008 I.Enfermedades infecciosas y parasitarias;Octubre;Hombres;2018;245
001-008 I.Enfermedades infecciosas y parasitarias;Octubre;Mujeres;2022;721
001-008 I.Enfermedades infecciosas y parasitarias;Octubre;Mujeres;2021;511
001-008 I.Enfermedades infecciosas y parasitarias;Octubre;Mujeres;2020;3.028
001-008 I.Enfermedades infecciosas y parasitarias;Octubre;Mujeres;2019;216
001-008 I.Enfermedades infecciosas y parasitarias;Octubre;Mujeres;2018;250
001-008 I.Enfermedades infecciosas y parasitarias;Noviembre;Hombres;2022;781
001-008 I.Enfermedades infecciosas y parasitarias;Noviembre;Hombres;2021;715
001-008 I.Enfermedades infecciosas y parasitarias;Noviembre;Hombres;2020;5.610
001-008 I.Enfermedades infecciosas y parasitarias;Noviembre;Hombres;2019;252
001-008 I.Enfermedades infecciosas y parasitarias;Noviembre;Hombres;2018;264
001-008 I.Enfermedades infecciosas y parasitarias;Noviembre;Mujeres;2022;696
001-008 I.Enfermedades infecciosas y parasitarias;Noviembre;Mujeres;2021;583
001-008 I.Enfermedades infecciosas y parasitarias;Noviembre;Mujeres;2020;4.897
001-008 I.Enfermedades infecciosas y parasitarias;Noviembre;Mujeres;2019;235
001-008 I.Enfermedades infecciosas y parasitarias;Noviembre;Mujeres;2018;262
001-008 I.Enfermedades infecciosas y parasitarias;Diciembre;Hombres;2022;988
001-008 I.Enfermedades infecciosas y parasitarias;Diciembre;Hombres;2021;1.723
001-008 I.Enfermedades infecciosas y parasitarias;Diciembre;Hombres;2020;3.628
001-008 I.Enfermedades infecciosas y parasitarias;Diciembre;Hombres;2019;251
001-008 I.Enfermedades infecciosas y parasitarias;Diciembre;Hombres;2018;282
001-008 I.Enfermedades infecciosas y parasitarias;Diciembre;Mujeres;2022;907
001-008 I.Enfermedades infecciosas y parasitarias;Diciembre;Mujeres;2021;1.270
001-008 I.Enfermedades infecciosas y parasitarias;Diciembre;Mujeres;2020;3.172
001-008 I.Enfermedades infecciosas y parasitarias;Diciembre;Mujeres;2019;266
001-008 I.Enfermedades infecciosas y parasitarias;Diciembre;Mujeres;2018;249
009-041 II.Tumores;Enero;Hombres;2022;5.801
009-041 II.Tumores;Enero;Hombres;2021;5.691
009-041 II.Tumores;Enero;Hombres;2020;6.116
009-041 II.Tumores;Enero;Hombres;2019;6.156
009-041 II.Tumores;Enero;Hombres;2018;6.170
009-041 II.Tumores;Enero;Mujeres;2022;3.958
009-041 II.Tumores;Enero;Mujeres;2021;3.905
009-041 II.Tumores;Enero;Mujeres;2020;4.259
009-041 II.Tumores;Enero;Mujeres;2019;4.093
009-041 II.Tumores;Enero;Mujeres;2018;4.090
009-041 II.Tumores;Febrero;Hombres;2022;5.228
009-041 II.Tumores;Febrero;Hombres;2021;5.082
009-041 II.Tumores;Febrero;Hombres;2020;5.594
009-041 II.Tumores;Febrero;Hombres;2019;5.433
009-041 II.Tumores;Febrero;Hombres;2018;5.476
009-041 II.Tumores;Febrero;Mujeres;2022;3.664
009-041 II.Tumores;Febrero;Mujeres;2021;3.450
009-041 II.Tumores;Febrero;Mujeres;2020;3.660
009-041 II.Tumores;Febrero;Mujeres;2019;3.536
009-041 II.Tumores;Febrero;Mujeres;2018;3.471
009-041 II.Tumores;Marzo;Hombres;2022;5.787
009-041 II.Tumores;Marzo;Hombres;2021;5.800
009-041 II.Tumores;Marzo;Hombres;2020;6.174
009-041 II.Tumores;Marzo;Hombres;2019;5.749
009-041 II.Tumores;Marzo;Hombres;2018;5.837
009-041 II.Tumores;Marzo;Mujeres;2022;4.095
009-041 II.Tumores;Marzo;Mujeres;2021;3.712
009-041 II.Tumores;Marzo;Mujeres;2020;4.041
009-041 II.Tumores;Marzo;Mujeres;2019;3.799
009-041 II.Tumores;Marzo;Mujeres;2018;3.801
