Total Nacional;Comunidades y Ciudades Autónomas;Situación laboral;Total
Total Nacional;01 Andalucía;Total;492,50
Total Nacional;01 Andalucía;Colegiados no jubilados;410,40
Total Nacional;01 Andalucía;Colegiados jubilados;82,10
Total Nacional;01 Andalucía;No consta;0,00
Total Nacional;02 Aragón;Total;689,29
Total Nacional;02 Aragón;Colegiados no jubilados;563,84
Total Nacional;02 Aragón;Colegiados jubilados;125,45
Total Nacional;02 Aragón;No consta;0,00
Total Nacional;03 Asturias, Principado de;Total;653,87
Total Nacional;03 Asturias, Principado de;Colegiados no jubilados;525,93
Total Nacional;03 Asturias, Principado de;Colegiados jubilados;127,95
Total Nacional;03 Asturias, Principado de;No consta;0,00
Total Nacional;04 Balears, Illes;Total;483,97
Total Nacional;04 Balears, Illes;Colegiados no jubilados;431,07
Total Nacional;04 Balears, Illes;Colegiados jubilados;52,91
Total Nacional;04 Balears, Illes;No consta;0,00
Total Nacional;05 Canarias;Total;505,83
Total Nacional;05 Canarias;Colegiados no jubilados;456,25
Total Nacional;05 Canarias;Colegiados jubilados;49,59
Total Nacional;05 Canarias;No consta;0,00
Total Nacional;06 Cantabria;Total;635,55
Total Nacional;06 Cantabria;Colegiados no jubilados;531,17
Total Nacional;06 Cantabria;Colegiados jubilados;104,38
Total Nacional;06 Cantabria;No consta;0,00
Total Nacional;07 Castilla y León;Total;629,88
Total Nacional;07 Castilla y León;Colegiados no jubilados;504,98
Total Nacional;07 Castilla y León;Colegiados jubilados;124,90
Total Nacional;07 Castilla y León;No consta;0,00
Total Nacional;08 Castilla - La Mancha;Total;446,89
Total Nacional;08 Castilla - La Mancha;Colegiados no jubilados;386,87
Total Nacional;08 Castilla - La Mancha;Colegiados jubilados;60,02
Total Nacional;08 Castilla - La Mancha;No consta;0,00
Total Nacional;09 Cataluña;Total;575,18
Total Nacional;09 Cataluña;Colegiados no jubilados;479,71
Total Nacional;09 Cataluña;Colegiados jubilados;95,47
Total Nacional;09 Cataluña;No consta;0,00
Total Nacional;10 Comunitat Valenciana;Total;526,92
Total Nacional;10 Comunitat Valenciana;Colegiados no jubilados;445,30
Total Nacional;10 Comunitat Valenciana;Colegiados jubilados;81,62
Total Nacional;10 Comunitat Valenciana;No consta;0,00
Total Nacional;11 Extremadura;Total;541,34
Total Nacional;11 Extremadura;Colegiados no jubilados;471,47
Total Nacional;11 Extremadura;Colegiados jubilados;69,87
Total Nacional;11 Extremadura;No consta;0,00
Total Nacional;12 Galicia;Total;529,03
Total Nacional;12 Galicia;Colegiados no jubilados;450,56
Total Nacional;12 Galicia;Colegiados jubilados;78,47
Total Nacional;12 Galicia;No consta;0,00
Total Nacional;13 Madrid, Comunidad de;Total;681,47
Total Nacional;13 Madrid, Comunidad de;Colegiados no jubilados;602,64
Total Nacional;13 Madrid, Comunidad de;Colegiados jubilados;78,83
Total Nacional;13 Madrid, Comunidad de;No consta;0,00
Total Nacional;14 Murcia, Región de;Total;511,41
Total Nacional;14 Murcia, Región de;Colegiados no jubilados;459,65
Total Nacional;14 Murcia, Región de;Colegiados jubilados;51,76
Total Nacional;14 Murcia, Región de;No consta;0,00
Total Nacional;15 Navarra, Comunidad Foral de;Total;649,27
Total Nacional;15 Navarra, Comunidad Foral de;Colegiados no jubilados;542,15
Total Nacional;15 Navarra, Comunidad Foral de;Colegiados jubilados;107,12
Total Nacional;15 Navarra, Comunidad Foral de;No consta;0,00
Total Nacional;16 País Vasco;Total;652,62
Total Nacional;16 País Vasco;Colegiados no jubilados;549,40
Total Nacional;16 País Vasco;Colegiados jubilados;103,22
Total Nacional;16 País Vasco;No consta;0,00
Total Nacional;17 Rioja, La;Total;554,04
Total Nacional;17 Rioja, La;Colegiados no jubilados;457,44
Total Nacional;17 Rioja, La;Colegiados jubilados;96,60
Total Nacional;17 Rioja, La;No consta;0,00
Total Nacional;18 Ceuta;Total;393,92
Total Nacional;18 Ceuta;Colegiados no jubilados;354,77
Total Nacional;18 Ceuta;Colegiados jubilados;39,15
Total Nacional;18 Ceuta;No consta;0,00
Total Nacional;19 Melilla;Total;378,87
Total Nacional;19 Melilla;Colegiados no jubilados;346,03
Total Nacional;19 Melilla;Colegiados jubilados;32,84
Total Nacional;19 Melilla;No consta;0,00
