Provincias;Edad (grupos quinquenales);Españoles/Extranjeros;Sexo;Periodo;Total
05 Ávila;TOTAL EDADES;TOTAL;Hombres;2019;79.071
05 Ávila;TOTAL EDADES;TOTAL;Hombres;2018;79.538
05 Ávila;TOTAL EDADES;TOTAL;Mujeres;2022;78.698
05 Ávila;TOTAL EDADES;TOTAL;Mujeres;2021;78.859
05 Ávila;TOTAL EDADES;TOTAL;Mujeres;2020;78.555
05 Ávila;TOTAL EDADES;TOTAL;Mujeres;2019;78.569
05 Ávila;TOTAL EDADES;TOTAL;Mujeres;2018;78.960
06 Badajoz;TOTAL EDADES;TOTAL;Ambos sexos;2022;666.971
06 Badajoz;TOTAL EDADES;TOTAL;Ambos sexos;2021;669.943
06 Badajoz;TOTAL EDADES;TOTAL;Ambos sexos;2020;672.137
06 Badajoz;TOTAL EDADES;TOTAL;Ambos sexos;2019;673.559
06 Badajoz;TOTAL EDADES;TOTAL;Ambos sexos;2018;676.376
06 Badajoz;TOTAL EDADES;TOTAL;Hombres;2022;329.507
06 Badajoz;TOTAL EDADES;TOTAL;Hombres;2021;331.025
06 Badajoz;TOTAL EDADES;TOTAL;Hombres;2020;332.204
06 Badajoz;TOTAL EDADES;TOTAL;Hombres;2019;333.112
06 Badajoz;TOTAL EDADES;TOTAL;Hombres;2018;334.636
06 Badajoz;TOTAL EDADES;TOTAL;Mujeres;2022;337.464
06 Badajoz;TOTAL EDADES;TOTAL;Mujeres;2021;338.918
06 Badajoz;TOTAL EDADES;TOTAL;Mujeres;2020;339.933
06 Badajoz;TOTAL EDADES;TOTAL;Mujeres;2019;340.447
06 Badajoz;TOTAL EDADES;TOTAL;Mujeres;2018;341.740
07 Balears, Illes;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.176.659
07 Balears, Illes;TOTAL EDADES;TOTAL;Ambos sexos;2021;1.173.008
07 Balears, Illes;TOTAL EDADES;TOTAL;Ambos sexos;2020;1.171.543
07 Balears, Illes;TOTAL EDADES;TOTAL;Ambos sexos;2019;1.149.460
07 Balears, Illes;TOTAL EDADES;TOTAL;Ambos sexos;2018;1.128.908
07 Balears, Illes;TOTAL EDADES;TOTAL;Hombres;2022;585.696
07 Balears, Illes;TOTAL EDADES;TOTAL;Hombres;2021;584.853
07 Balears, Illes;TOTAL EDADES;TOTAL;Hombres;2020;584.298
07 Balears, Illes;TOTAL EDADES;TOTAL;Hombres;2019;572.757
07 Balears, Illes;TOTAL EDADES;TOTAL;Hombres;2018;561.803
07 Balears, Illes;TOTAL EDADES;TOTAL;Mujeres;2022;590.963
07 Balears, Illes;TOTAL EDADES;TOTAL;Mujeres;2021;588.155
07 Balears, Illes;TOTAL EDADES;TOTAL;Mujeres;2020;587.245
07 Balears, Illes;TOTAL EDADES;TOTAL;Mujeres;2019;576.703
07 Balears, Illes;TOTAL EDADES;TOTAL;Mujeres;2018;567.105
08 Barcelona;TOTAL EDADES;TOTAL;Ambos sexos;2022;5.727.615
08 Barcelona;TOTAL EDADES;TOTAL;Ambos sexos;2021;5.714.730
08 Barcelona;TOTAL EDADES;TOTAL;Ambos sexos;2020;5.743.402
08 Barcelona;TOTAL EDADES;TOTAL;Ambos sexos;2019;5.664.579
08 Barcelona;TOTAL EDADES;TOTAL;Ambos sexos;2018;5.609.350
08 Barcelona;TOTAL EDADES;TOTAL;Hombres;2022;2.796.852
08 Barcelona;TOTAL EDADES;TOTAL;Hombres;2021;2.791.250
08 Barcelona;TOTAL EDADES;TOTAL;Hombres;2020;2.804.316
08 Barcelona;TOTAL EDADES;TOTAL;Hombres;2019;2.762.689
08 Barcelona;TOTAL EDADES;TOTAL;Hombres;2018;2.733.466
08 Barcelona;TOTAL EDADES;TOTAL;Mujeres;2022;2.930.763
08 Barcelona;TOTAL EDADES;TOTAL;Mujeres;2021;2.923.480
08 Barcelona;TOTAL EDADES;TOTAL;Mujeres;2020;2.939.086
08 Barcelona;TOTAL EDADES;TOTAL;Mujeres;2019;2.901.890
08 Barcelona;TOTAL EDADES;TOTAL;Mujeres;2018;2.875.884
48 Bizkaia;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.149.344
48 Bizkaia;TOTAL EDADES;TOTAL;Ambos sexos;2021;1.154.334
48 Bizkaia;TOTAL EDADES;TOTAL;Ambos sexos;2020;1.159.443
48 Bizkaia;TOTAL EDADES;TOTAL;Ambos sexos;2019;1.152.651
48 Bizkaia;TOTAL EDADES;TOTAL;Ambos sexos;2018;1.149.628
48 Bizkaia;TOTAL EDADES;TOTAL;Hombres;2022;555.041
48 Bizkaia;TOTAL EDADES;TOTAL;Hombres;2021;557.416
48 Bizkaia;TOTAL EDADES;TOTAL;Hombres;2020;559.798
48 Bizkaia;TOTAL EDADES;TOTAL;Hombres;2019;556.212
48 Bizkaia;TOTAL EDADES;TOTAL;Hombres;2018;554.879
48 Bizkaia;TOTAL EDADES;TOTAL;Mujeres;2022;594.303
48 Bizkaia;TOTAL EDADES;TOTAL;Mujeres;2021;596.918
48 Bizkaia;TOTAL EDADES;TOTAL;Mujeres;2020;599.645
48 Bizkaia;TOTAL EDADES;TOTAL;Mujeres;2019;596.439
48 Bizkaia;TOTAL EDADES;TOTAL;Mujeres;2018;594.749
09 Burgos;TOTAL EDADES;TOTAL;Ambos sexos;2022;355.045
09 Burgos;TOTAL EDADES;TOTAL;Ambos sexos;2021;356.055
09 Burgos;TOTAL EDADES;TOTAL;Ambos sexos;2020;357.650
09 Burgos;TOTAL EDADES;TOTAL;Ambos sexos;2019;356.958
09 Burgos;TOTAL EDADES;TOTAL;Ambos sexos;2018;357.070
09 Burgos;TOTAL EDADES;TOTAL;Hombres;2022;177.479
09 Burgos;TOTAL EDADES;TOTAL;Hombres;2021;177.920
09 Burgos;TOTAL EDADES;TOTAL;Hombres;2020;178.578
09 Burgos;TOTAL EDADES;TOTAL;Hombres;2019;178.230
09 Burgos;TOTAL EDADES;TOTAL;Hombres;2018;178.337
09 Burgos;TOTAL EDADES;TOTAL;Mujeres;2022;177.566
09 Burgos;TOTAL EDADES;TOTAL;Mujeres;2021;178.135
09 Burgos;TOTAL EDADES;TOTAL;Mujeres;2020;179.072
09 Burgos;TOTAL EDADES;TOTAL;Mujeres;2019;178.728
09 Burgos;TOTAL EDADES;TOTAL;Mujeres;2018;178.733
10 Cáceres;TOTAL EDADES;TOTAL;Ambos sexos;2022;387.805
10 Cáceres;TOTAL EDADES;TOTAL;Ambos sexos;2021;389.558
10 Cáceres;TOTAL EDADES;TOTAL;Ambos sexos;2020;391.850
10 Cáceres;TOTAL EDADES;TOTAL;Ambos sexos;2019;394.151
10 Cáceres;TOTAL EDADES;TOTAL;Ambos sexos;2018;396.487
10 Cáceres;TOTAL EDADES;TOTAL;Hombres;2022;191.956
10 Cáceres;TOTAL EDADES;TOTAL;Hombres;2021;192.951
10 Cáceres;TOTAL EDADES;TOTAL;Hombres;2020;194.084
