Causas (lista reducida);Sexo;Provincia de residencia;Total
001-102 I-XXII.Todas las causas;Ambos sexos;Total;450.744
001-102 I-XXII.Todas las causas;Ambos sexos;Albacete;3.781
001-102 I-XXII.Todas las causas;Ambos sexos;Alicante/Alacant;18.391
001-102 I-XXII.Todas las causas;Ambos sexos;Almería;6.203
001-102 I-XXII.Todas las causas;Ambos sexos;Araba/Alava;2.972
001-102 I-XXII.Todas las causas;Ambos sexos;Asturias;13.367
001-102 I-XXII.Todas las causas;Ambos sexos;Avila;2.065
001-102 I-XXII.Todas las causas;Ambos sexos;Badajoz;7.429
001-102 I-XXII.Todas las causas;Ambos sexos;Balears, Illes;8.802
001-102 I-XXII.Todas las causas;Ambos sexos;Barcelona;50.332
001-102 I-XXII.Todas las causas;Ambos sexos;Bizkaia;12.493
001-102 I-XXII.Todas las causas;Ambos sexos;Burgos;3.968
001-102 I-XXII.Todas las causas;Ambos sexos;Cáceres;4.889
001-102 I-XXII.Todas las causas;Ambos sexos;Cádiz;11.693
001-102 I-XXII.Todas las causas;Ambos sexos;Cantabria;6.052
001-102 I-XXII.Todas las causas;Ambos sexos;Castellón/Castelló;5.934
001-102 I-XXII.Todas las causas;Ambos sexos;Ciudad Real;5.427
001-102 I-XXII.Todas las causas;Ambos sexos;Córdoba;8.356
001-102 I-XXII.Todas las causas;Ambos sexos;Coruña, A;13.283
001-102 I-XXII.Todas las causas;Ambos sexos;Cuenca;2.439
001-102 I-XXII.Todas las causas;Ambos sexos;Gipuzkoa;7.621
001-102 I-XXII.Todas las causas;Ambos sexos;Girona;6.879
001-102 I-XXII.Todas las causas;Ambos sexos;Granada;8.767
001-102 I-XXII.Todas las causas;Ambos sexos;Guadalajara;2.122
001-102 I-XXII.Todas las causas;Ambos sexos;Huelva;4.959
001-102 I-XXII.Todas las causas;Ambos sexos;Huesca;2.523
001-102 I-XXII.Todas las causas;Ambos sexos;Jaén;6.934
001-102 I-XXII.Todas las causas;Ambos sexos;León;6.220
001-102 I-XXII.Todas las causas;Ambos sexos;Lleida;4.552
001-102 I-XXII.Todas las causas;Ambos sexos;Lugo;5.019
001-102 I-XXII.Todas las causas;Ambos sexos;Madrid;49.857
001-102 I-XXII.Todas las causas;Ambos sexos;Málaga;14.724
001-102 I-XXII.Todas las causas;Ambos sexos;Murcia;12.683
001-102 I-XXII.Todas las causas;Ambos sexos;Navarra;5.771
001-102 I-XXII.Todas las causas;Ambos sexos;Ourense;4.695
001-102 I-XXII.Todas las causas;Ambos sexos;Palencia;2.267
001-102 I-XXII.Todas las causas;Ambos sexos;Palmas, Las;8.592
001-102 I-XXII.Todas las causas;Ambos sexos;Pontevedra;9.856
001-102 I-XXII.Todas las causas;Ambos sexos;Rioja, La;3.411
001-102 I-XXII.Todas las causas;Ambos sexos;Salamanca;3.995
001-102 I-XXII.Todas las causas;Ambos sexos;Santa Cruz de Tenerife;8.557
001-102 I-XXII.Todas las causas;Ambos sexos;Segovia;1.679
001-102 I-XXII.Todas las causas;Ambos sexos;Sevilla;17.703
001-102 I-XXII.Todas las causas;Ambos sexos;Soria;1.184
001-102 I-XXII.Todas las causas;Ambos sexos;Tarragona;7.579
001-102 I-XXII.Todas las causas;Ambos sexos;Teruel;1.696
001-102 I-XXII.Todas las causas;Ambos sexos;Toledo;6.648
001-102 I-XXII.Todas las causas;Ambos sexos;Valencia/Valncia;25.323
001-102 I-XXII.Todas las causas;Ambos sexos;Valladolid;5.330
001-102 I-XXII.Todas las causas;Ambos sexos;Zamora;2.591
001-102 I-XXII.Todas las causas;Ambos sexos;Zaragoza;10.297
001-102 I-XXII.Todas las causas;Ambos sexos;Ceuta;674
001-102 I-XXII.Todas las causas;Ambos sexos;Melilla;565
001-102 I-XXII.Todas las causas;Ambos sexos;Extranjero;1.595
001-102 I-XXII.Todas las causas;Hombres;Total;231.410
001-102 I-XXII.Todas las causas;Hombres;Albacete;1.999
001-102 I-XXII.Todas las causas;Hombres;Alicante/Alacant;9.775
001-102 I-XXII.Todas las causas;Hombres;Almería;3.371
001-102 I-XXII.Todas las causas;Hombres;Araba/Alava;1.560
001-102 I-XXII.Todas las causas;Hombres;Asturias;6.440
001-102 I-XXII.Todas las causas;Hombres;Avila;1.101
001-102 I-XXII.Todas las causas;Hombres;Badajoz;3.822
001-102 I-XXII.Todas las causas;Hombres;Balears, Illes;4.627
001-102 I-XXII.Todas las causas;Hombres;Barcelona;25.487
001-102 I-XXII.Todas las causas;Hombres;Bizkaia;6.172
001-102 I-XXII.Todas las causas;Hombres;Burgos;2.077
001-102 I-XXII.Todas las causas;Hombres;Cáceres;2.517
001-102 I-XXII.Todas las causas;Hombres;Cádiz;6.065
001-102 I-XXII.Todas las causas;Hombres;Cantabria;3.078
001-102 I-XXII.Todas las causas;Hombres;Castellón/Castelló;3.106
001-102 I-XXII.Todas las causas;Hombres;Ciudad Real;2.791
001-102 I-XXII.Todas las causas;Hombres;Córdoba;4.253
001-102 I-XXII.Todas las causas;Hombres;Coruña, A;6.648
001-102 I-XXII.Todas las causas;Hombres;Cuenca;1.281
001-102 I-XXII.Todas las causas;Hombres;Gipuzkoa;3.838
001-102 I-XXII.Todas las causas;Hombres;Girona;3.548
001-102 I-XXII.Todas las causas;Hombres;Granada;4.469
001-102 I-XXII.Todas las causas;Hombres;Guadalajara;1.124
001-102 I-XXII.Todas las causas;Hombres;Huelva;2.548
001-102 I-XXII.Todas las causas;Hombres;Huesca;1.307
001-102 I-XXII.Todas las causas;Hombres;Jaén;3.491
001-102 I-XXII.Todas las causas;Hombres;León;3.161
001-102 I-XXII.Todas las causas;Hombres;Lleida;2.365
001-102 I-XXII.Todas las causas;Hombres;Lugo;2.485
001-102 I-XXII.Todas las causas;Hombres;Madrid;25.172
001-102 I-XXII.Todas las causas;Hombres;Málaga;7.680
001-102 I-XXII.Todas las causas;Hombres;Murcia;6.578
001-102 I-XXII.Todas las causas;Hombres;Navarra;2.989
001-102 I-XXII.Todas las causas;Hombres;Ourense;2.388
001-102 I-XXII.Todas las causas;Hombres;Palencia;1.163
001-102 I-XXII.Todas las causas;Hombres;Palmas, Las;4.644
001-102 I-XXII.Todas las causas;Hombres;Pontevedra;5.072
001-102 I-XXII.Todas las causas;Hombres;Rioja, La;1.742
001-102 I-XXII.Todas las causas;Hombres;Salamanca;2.062
001-102 I-XXII.Todas las causas;Hombres;Santa Cruz de Tenerife;4.498
001-102 I-XXII.Todas las causas;Hombres;Segovia;876
001-102 I-XXII.Todas las causas;Hombres;Sevilla;9.060
001-102 I-XXII.Todas las causas;Hombres;Soria;595
001-102 I-XXII.Todas las causas;Hombres;Tarragona;3.986
001-102 I-XXII.Todas las causas;Hombres;Teruel;879
001-102 I-XXII.Todas las causas;Hombres;Toledo;3.447
001-102 I-XXII.Todas las causas;Hombres;Valencia/Valncia;12.983
001-102 I-XXII.Todas las causas;Hombres;Valladolid;2.810
001-102 I-XXII.Todas las causas;Hombres;Zamora;1.327
