Causas (lista reducida);Sexo;Provincia de residencia;Total
001-102 I-XXII.Todas las causas;Hombres;Total;212.683
001-102 I-XXII.Todas las causas;Hombres;02 Albacete;1.884
001-102 I-XXII.Todas las causas;Hombres;03 Alicante/Alacant;8.458
001-102 I-XXII.Todas las causas;Hombres;04 Almería;2.862
001-102 I-XXII.Todas las causas;Hombres;01 Araba/Álava;1.447
001-102 I-XXII.Todas las causas;Hombres;33 Asturias;6.277
001-102 I-XXII.Todas las causas;Hombres;05 Ávila;1.071
001-102 I-XXII.Todas las causas;Hombres;06 Badajoz;3.477
001-102 I-XXII.Todas las causas;Hombres;07 Balears, Illes;4.115
001-102 I-XXII.Todas las causas;Hombres;08 Barcelona;23.319
001-102 I-XXII.Todas las causas;Hombres;48 Bizkaia;5.975
001-102 I-XXII.Todas las causas;Hombres;09 Burgos;1.968
001-102 I-XXII.Todas las causas;Hombres;10 Cáceres;2.308
001-102 I-XXII.Todas las causas;Hombres;11 Cádiz;5.324
001-102 I-XXII.Todas las causas;Hombres;39 Cantabria;3.015
001-102 I-XXII.Todas las causas;Hombres;12 Castellón/Castelló;2.775
001-102 I-XXII.Todas las causas;Hombres;13 Ciudad Real;2.614
001-102 I-XXII.Todas las causas;Hombres;14 Córdoba;3.830
001-102 I-XXII.Todas las causas;Hombres;15 Coruña, A;6.197
001-102 I-XXII.Todas las causas;Hombres;16 Cuenca;1.255
001-102 I-XXII.Todas las causas;Hombres;20 Gipuzkoa;3.339
001-102 I-XXII.Todas las causas;Hombres;17 Girona;3.334
001-102 I-XXII.Todas las causas;Hombres;18 Granada;4.075
001-102 I-XXII.Todas las causas;Hombres;19 Guadalajara;994
001-102 I-XXII.Todas las causas;Hombres;21 Huelva;2.290
001-102 I-XXII.Todas las causas;Hombres;22 Huesca;1.266
001-102 I-XXII.Todas las causas;Hombres;23 Jaén;3.310
001-102 I-XXII.Todas las causas;Hombres;24 León;3.130
001-102 I-XXII.Todas las causas;Hombres;25 Lleida;2.137
001-102 I-XXII.Todas las causas;Hombres;27 Lugo;2.401
001-102 I-XXII.Todas las causas;Hombres;28 Madrid;22.865
001-102 I-XXII.Todas las causas;Hombres;29 Málaga;6.677
001-102 I-XXII.Todas las causas;Hombres;30 Murcia;5.935
001-102 I-XXII.Todas las causas;Hombres;31 Navarra;2.750
001-102 I-XXII.Todas las causas;Hombres;32 Ourense;2.330
001-102 I-XXII.Todas las causas;Hombres;34 Palencia;1.076
001-102 I-XXII.Todas las causas;Hombres;35 Palmas, Las;4.263
001-102 I-XXII.Todas las causas;Hombres;36 Pontevedra;4.677
001-102 I-XXII.Todas las causas;Hombres;26 Rioja, La;1.609
001-102 I-XXII.Todas las causas;Hombres;37 Salamanca;2.007
001-102 I-XXII.Todas las causas;Hombres;38 Santa Cruz de Tenerife;4.166
001-102 I-XXII.Todas las causas;Hombres;40 Segovia;859
001-102 I-XXII.Todas las causas;Hombres;41 Sevilla;8.066
001-102 I-XXII.Todas las causas;Hombres;42 Soria;585
001-102 I-XXII.Todas las causas;Hombres;43 Tarragona;3.708
001-102 I-XXII.Todas las causas;Hombres;44 Teruel;886
001-102 I-XXII.Todas las causas;Hombres;45 Toledo;3.119
001-102 I-XXII.Todas las causas;Hombres;46 Valencia/València;11.724
001-102 I-XXII.Todas las causas;Hombres;47 Valladolid;2.495
001-102 I-XXII.Todas las causas;Hombres;49 Zamora;1.357
001-102 I-XXII.Todas las causas;Hombres;50 Zaragoza;4.771
001-102 I-XXII.Todas las causas;Hombres;51 Ceuta;269
001-102 I-XXII.Todas las causas;Hombres;52 Melilla;252
001-102 I-XXII.Todas las causas;Hombres;Extranjero;1.790
001-102 I-XXII.Todas las causas;Mujeres;Total;206.020
001-102 I-XXII.Todas las causas;Mujeres;02 Albacete;1.847
001-102 I-XXII.Todas las causas;Mujeres;03 Alicante/Alacant;7.450
001-102 I-XXII.Todas las causas;Mujeres;04 Almería;2.408
001-102 I-XXII.Todas las causas;Mujeres;01 Araba/Álava;1.291
001-102 I-XXII.Todas las causas;Mujeres;33 Asturias;6.616
001-102 I-XXII.Todas las causas;Mujeres;05 Ávila;955
001-102 I-XXII.Todas las causas;Mujeres;06 Badajoz;3.306
001-102 I-XXII.Todas las causas;Mujeres;07 Balears, Illes;3.880
001-102 I-XXII.Todas las causas;Mujeres;08 Barcelona;23.517
001-102 I-XXII.Todas las causas;Mujeres;48 Bizkaia;5.992
001-102 I-XXII.Todas las causas;Mujeres;09 Burgos;1.923
001-102 I-XXII.Todas las causas;Mujeres;10 Cáceres;2.170
001-102 I-XXII.Todas las causas;Mujeres;11 Cádiz;4.720
001-102 I-XXII.Todas las causas;Mujeres;39 Cantabria;2.998
001-102 I-XXII.Todas las causas;Mujeres;12 Castellón/Castelló;2.493
001-102 I-XXII.Todas las causas;Mujeres;13 Ciudad Real;2.609
