Causas (lista reducida);Sexo;Provincia de residencia;Total
001-102 I-XXII.Todas las causas;Mujeres;14 Córdoba;3.919
001-102 I-XXII.Todas las causas;Mujeres;15 Coruña, A;6.185
001-102 I-XXII.Todas las causas;Mujeres;16 Cuenca;1.188
001-102 I-XXII.Todas las causas;Mujeres;20 Gipuzkoa;3.522
001-102 I-XXII.Todas las causas;Mujeres;17 Girona;3.148
001-102 I-XXII.Todas las causas;Mujeres;18 Granada;3.922
001-102 I-XXII.Todas las causas;Mujeres;19 Guadalajara;1.000
001-102 I-XXII.Todas las causas;Mujeres;21 Huelva;2.064
001-102 I-XXII.Todas las causas;Mujeres;22 Huesca;1.125
001-102 I-XXII.Todas las causas;Mujeres;23 Jaén;3.210
001-102 I-XXII.Todas las causas;Mujeres;24 León;3.022
001-102 I-XXII.Todas las causas;Mujeres;25 Lleida;2.051
001-102 I-XXII.Todas las causas;Mujeres;27 Lugo;2.403
001-102 I-XXII.Todas las causas;Mujeres;28 Madrid;24.300
001-102 I-XXII.Todas las causas;Mujeres;29 Málaga;6.082
001-102 I-XXII.Todas las causas;Mujeres;30 Murcia;5.633
001-102 I-XXII.Todas las causas;Mujeres;31 Navarra;2.818
001-102 I-XXII.Todas las causas;Mujeres;32 Ourense;2.385
001-102 I-XXII.Todas las causas;Mujeres;34 Palencia;1.053
001-102 I-XXII.Todas las causas;Mujeres;35 Palmas, Las;3.584
001-102 I-XXII.Todas las causas;Mujeres;36 Pontevedra;4.690
001-102 I-XXII.Todas las causas;Mujeres;26 Rioja, La;1.538
001-102 I-XXII.Todas las causas;Mujeres;37 Salamanca;2.038
001-102 I-XXII.Todas las causas;Mujeres;38 Santa Cruz de Tenerife;3.743
001-102 I-XXII.Todas las causas;Mujeres;40 Segovia;834
001-102 I-XXII.Todas las causas;Mujeres;41 Sevilla;7.746
001-102 I-XXII.Todas las causas;Mujeres;42 Soria;560
001-102 I-XXII.Todas las causas;Mujeres;43 Tarragona;3.333
001-102 I-XXII.Todas las causas;Mujeres;44 Teruel;800
001-102 I-XXII.Todas las causas;Mujeres;45 Toledo;2.957
001-102 I-XXII.Todas las causas;Mujeres;46 Valencia/València;11.116
001-102 I-XXII.Todas las causas;Mujeres;47 Valladolid;2.438
001-102 I-XXII.Todas las causas;Mujeres;49 Zamora;1.348
001-102 I-XXII.Todas las causas;Mujeres;50 Zaragoza;4.772
001-102 I-XXII.Todas las causas;Mujeres;51 Ceuta;268
001-102 I-XXII.Todas las causas;Mujeres;52 Melilla;239
001-102 I-XXII.Todas las causas;Mujeres;Extranjero;811
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;Total;3.061
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;02 Albacete;18
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;03 Alicante/Alacant;138
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;04 Almería;42
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;01 Araba/Álava;18
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;33 Asturias;68
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;05 Ávila;18
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;06 Badajoz;46
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;07 Balears, Illes;55
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;08 Barcelona;312
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;48 Bizkaia;86
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;09 Burgos;36
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;10 Cáceres;32
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;11 Cádiz;120
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;39 Cantabria;43
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;12 Castellón/Castelló;34
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;13 Ciudad Real;21
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;14 Córdoba;58
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;15 Coruña, A;89
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;16 Cuenca;15
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;20 Gipuzkoa;46
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;17 Girona;53
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;18 Granada;63
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;19 Guadalajara;10
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;21 Huelva;37
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;22 Huesca;22
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;23 Jaén;51
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;24 León;41
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;25 Lleida;37
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;27 Lugo;34
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;28 Madrid;308
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;29 Málaga;105
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;30 Murcia;75
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;31 Navarra;39
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;32 Ourense;31
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;34 Palencia;17
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;35 Palmas, Las;60
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;36 Pontevedra;60
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;26 Rioja, La;28
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;37 Salamanca;23
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;38 Santa Cruz de Tenerife;69
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;40 Segovia;10
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;41 Sevilla;110
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;42 Soria;9
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;43 Tarragona;57
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;44 Teruel;10
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;45 Toledo;36
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;46 Valencia/València;201
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;47 Valladolid;33
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;49 Zamora;25
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;50 Zaragoza;74
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;51 Ceuta;4
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;52 Melilla;5
001-008 I.Enfermedades infecciosas y parasitarias (1);Hombres;Extranjero;29
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;Total;3.058
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;02 Albacete;20
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;03 Alicante/Alacant;116
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;04 Almería;48
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;01 Araba/Álava;18
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;33 Asturias;100
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;05 Ávila;22
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;06 Badajoz;38
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;07 Balears, Illes;60
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;08 Barcelona;344
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;48 Bizkaia;86
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;09 Burgos;35
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;10 Cáceres;28
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;11 Cádiz;80
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;39 Cantabria;30
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;12 Castellón/Castelló;29
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;13 Ciudad Real;38
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;14 Córdoba;56
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;15 Coruña, A;86
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;16 Cuenca;22
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;20 Gipuzkoa;54
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;17 Girona;36
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;18 Granada;62
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;19 Guadalajara;10
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;21 Huelva;23
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;22 Huesca;20
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;23 Jaén;50
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;24 León;47
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;25 Lleida;33
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;27 Lugo;18
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;28 Madrid;322
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;29 Málaga;109
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;30 Murcia;88
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;31 Navarra;40
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;32 Ourense;36
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;34 Palencia;16
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;35 Palmas, Las;60
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;36 Pontevedra;62
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;26 Rioja, La;29
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;37 Salamanca;37
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;38 Santa Cruz de Tenerife;68
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;40 Segovia;16
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;41 Sevilla;116
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;42 Soria;9
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;43 Tarragona;53
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;44 Teruel;13
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;45 Toledo;32
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;46 Valencia/València;178
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;47 Valladolid;37
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;49 Zamora;23
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;50 Zaragoza;73
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;51 Ceuta;3
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;52 Melilla;12
001-008 I.Enfermedades infecciosas y parasitarias (1);Mujeres;Extranjero;17
001 Enfermedades infecciosas intestinales;Hombres;Total;392
001 Enfermedades infecciosas intestinales;Hombres;02 Albacete;7
001 Enfermedades infecciosas intestinales;Hombres;03 Alicante/Alacant;14
001 Enfermedades infecciosas intestinales;Hombres;04 Almería;5
001 Enfermedades infecciosas intestinales;Hombres;01 Araba/Álava;3
001 Enfermedades infecciosas intestinales;Hombres;33 Asturias;13
001 Enfermedades infecciosas intestinales;Hombres;05 Ávila;4
001 Enfermedades infecciosas intestinales;Hombres;06 Badajoz;12
001 Enfermedades infecciosas intestinales;Hombres;07 Balears, Illes;9
001 Enfermedades infecciosas intestinales;Hombres;08 Barcelona;29
001 Enfermedades infecciosas intestinales;Hombres;48 Bizkaia;7
001 Enfermedades infecciosas intestinales;Hombres;09 Burgos;4
001 Enfermedades infecciosas intestinales;Hombres;10 Cáceres;5
001 Enfermedades infecciosas intestinales;Hombres;11 Cádiz;9
001 Enfermedades infecciosas intestinales;Hombres;39 Cantabria;5
001 Enfermedades infecciosas intestinales;Hombres;12 Castellón/Castelló;5
001 Enfermedades infecciosas intestinales;Hombres;13 Ciudad Real;5
001 Enfermedades infecciosas intestinales;Hombres;14 Córdoba;7
001 Enfermedades infecciosas intestinales;Hombres;15 Coruña, A;16
001 Enfermedades infecciosas intestinales;Hombres;16 Cuenca;2
001 Enfermedades infecciosas intestinales;Hombres;20 Gipuzkoa;9
001 Enfermedades infecciosas intestinales;Hombres;17 Girona;7
001 Enfermedades infecciosas intestinales;Hombres;18 Granada;4
001 Enfermedades infecciosas intestinales;Hombres;19 Guadalajara;3
001 Enfermedades infecciosas intestinales;Hombres;21 Huelva;3
001 Enfermedades infecciosas intestinales;Hombres;22 Huesca;3
001 Enfermedades infecciosas intestinales;Hombres;23 Jaén;4
001 Enfermedades infecciosas intestinales;Hombres;24 León;8
001 Enfermedades infecciosas intestinales;Hombres;25 Lleida;9
001 Enfermedades infecciosas intestinales;Hombres;27 Lugo;2
001 Enfermedades infecciosas intestinales;Hombres;28 Madrid;40
001 Enfermedades infecciosas intestinales;Hombres;29 Málaga;17
001 Enfermedades infecciosas intestinales;Hombres;30 Murcia;6
001 Enfermedades infecciosas intestinales;Hombres;31 Navarra;6
001 Enfermedades infecciosas intestinales;Hombres;32 Ourense;10
001 Enfermedades infecciosas intestinales;Hombres;34 Palencia;2
001 Enfermedades infecciosas intestinales;Hombres;35 Palmas, Las;4
001 Enfermedades infecciosas intestinales;Hombres;36 Pontevedra;6
001 Enfermedades infecciosas intestinales;Hombres;26 Rioja, La;4
001 Enfermedades infecciosas intestinales;Hombres;37 Salamanca;3
001 Enfermedades infecciosas intestinales;Hombres;38 Santa Cruz de Tenerife;15
001 Enfermedades infecciosas intestinales;Hombres;40 Segovia;1
001 Enfermedades infecciosas intestinales;Hombres;41 Sevilla;11
001 Enfermedades infecciosas intestinales;Hombres;42 Soria;1
001 Enfermedades infecciosas intestinales;Hombres;43 Tarragona;10
001 Enfermedades infecciosas intestinales;Hombres;44 Teruel;2
001 Enfermedades infecciosas intestinales;Hombres;45 Toledo;5
001 Enfermedades infecciosas intestinales;Hombres;46 Valencia/València;16
001 Enfermedades infecciosas intestinales;Hombres;47 Valladolid;5
001 Enfermedades infecciosas intestinales;Hombres;49 Zamora;4
001 Enfermedades infecciosas intestinales;Hombres;50 Zaragoza;8
001 Enfermedades infecciosas intestinales;Hombres;51 Ceuta;1
001 Enfermedades infecciosas intestinales;Hombres;52 Melilla;0
001 Enfermedades infecciosas intestinales;Hombres;Extranjero;2
001 Enfermedades infecciosas intestinales;Mujeres;Total;642
001 Enfermedades infecciosas intestinales;Mujeres;02 Albacete;8
001 Enfermedades infecciosas intestinales;Mujeres;03 Alicante/Alacant;23
001 Enfermedades infecciosas intestinales;Mujeres;04 Almería;9
001 Enfermedades infecciosas intestinales;Mujeres;01 Araba/Álava;6
001 Enfermedades infecciosas intestinales;Mujeres;33 Asturias;20
001 Enfermedades infecciosas intestinales;Mujeres;05 Ávila;7
001 Enfermedades infecciosas intestinales;Mujeres;06 Badajoz;13
001 Enfermedades infecciosas intestinales;Mujeres;07 Balears, Illes;11
001 Enfermedades infecciosas intestinales;Mujeres;08 Barcelona;72
001 Enfermedades infecciosas intestinales;Mujeres;48 Bizkaia;10
001 Enfermedades infecciosas intestinales;Mujeres;09 Burgos;5
001 Enfermedades infecciosas intestinales;Mujeres;10 Cáceres;11
001 Enfermedades infecciosas intestinales;Mujeres;11 Cádiz;10
001 Enfermedades infecciosas intestinales;Mujeres;39 Cantabria;2
001 Enfermedades infecciosas intestinales;Mujeres;12 Castellón/Castelló;5
001 Enfermedades infecciosas intestinales;Mujeres;13 Ciudad Real;12
001 Enfermedades infecciosas intestinales;Mujeres;14 Córdoba;19
001 Enfermedades infecciosas intestinales;Mujeres;15 Coruña, A;15
001 Enfermedades infecciosas intestinales;Mujeres;16 Cuenca;9
001 Enfermedades infecciosas intestinales;Mujeres;20 Gipuzkoa;7
001 Enfermedades infecciosas intestinales;Mujeres;17 Girona;7
001 Enfermedades infecciosas intestinales;Mujeres;18 Granada;5
001 Enfermedades infecciosas intestinales;Mujeres;19 Guadalajara;2
001 Enfermedades infecciosas intestinales;Mujeres;21 Huelva;3
001 Enfermedades infecciosas intestinales;Mujeres;22 Huesca;6
001 Enfermedades infecciosas intestinales;Mujeres;23 Jaén;11
001 Enfermedades infecciosas intestinales;Mujeres;24 León;15
001 Enfermedades infecciosas intestinales;Mujeres;25 Lleida;7
001 Enfermedades infecciosas intestinales;Mujeres;27 Lugo;4
001 Enfermedades infecciosas intestinales;Mujeres;28 Madrid;69
001 Enfermedades infecciosas intestinales;Mujeres;29 Málaga;20
001 Enfermedades infecciosas intestinales;Mujeres;30 Murcia;21
001 Enfermedades infecciosas intestinales;Mujeres;31 Navarra;7
001 Enfermedades infecciosas intestinales;Mujeres;32 Ourense;12
001 Enfermedades infecciosas intestinales;Mujeres;34 Palencia;2
001 Enfermedades infecciosas intestinales;Mujeres;35 Palmas, Las;11
001 Enfermedades infecciosas intestinales;Mujeres;36 Pontevedra;18
001 Enfermedades infecciosas intestinales;Mujeres;26 Rioja, La;5
001 Enfermedades infecciosas intestinales;Mujeres;37 Salamanca;10
001 Enfermedades infecciosas intestinales;Mujeres;38 Santa Cruz de Tenerife;20
001 Enfermedades infecciosas intestinales;Mujeres;40 Segovia;3
001 Enfermedades infecciosas intestinales;Mujeres;41 Sevilla;17
001 Enfermedades infecciosas intestinales;Mujeres;42 Soria;1
001 Enfermedades infecciosas intestinales;Mujeres;43 Tarragona;14
001 Enfermedades infecciosas intestinales;Mujeres;44 Teruel;2
001 Enfermedades infecciosas intestinales;Mujeres;45 Toledo;7
001 Enfermedades infecciosas intestinales;Mujeres;46 Valencia/València;35
001 Enfermedades infecciosas intestinales;Mujeres;47 Valladolid;8
001 Enfermedades infecciosas intestinales;Mujeres;49 Zamora;4
001 Enfermedades infecciosas intestinales;Mujeres;50 Zaragoza;15
001 Enfermedades infecciosas intestinales;Mujeres;51 Ceuta;0
001 Enfermedades infecciosas intestinales;Mujeres;52 Melilla;1
001 Enfermedades infecciosas intestinales;Mujeres;Extranjero;6
002 Tuberculosis y sus efectos tardíos;Hombres;Total;134
002 Tuberculosis y sus efectos tardíos;Hombres;02 Albacete;0
002 Tuberculosis y sus efectos tardíos;Hombres;03 Alicante/Alacant;5
002 Tuberculosis y sus efectos tardíos;Hombres;04 Almería;3
002 Tuberculosis y sus efectos tardíos;Hombres;01 Araba/Álava;0
002 Tuberculosis y sus efectos tardíos;Hombres;33 Asturias;3
002 Tuberculosis y sus efectos tardíos;Hombres;05 Ávila;0
002 Tuberculosis y sus efectos tardíos;Hombres;06 Badajoz;3
002 Tuberculosis y sus efectos tardíos;Hombres;07 Balears, Illes;2
002 Tuberculosis y sus efectos tardíos;Hombres;08 Barcelona;14
002 Tuberculosis y sus efectos tardíos;Hombres;48 Bizkaia;1
002 Tuberculosis y sus efectos tardíos;Hombres;09 Burgos;2
002 Tuberculosis y sus efectos tardíos;Hombres;10 Cáceres;0
002 Tuberculosis y sus efectos tardíos;Hombres;11 Cádiz;3
002 Tuberculosis y sus efectos tardíos;Hombres;39 Cantabria;4
002 Tuberculosis y sus efectos tardíos;Hombres;12 Castellón/Castelló;0
002 Tuberculosis y sus efectos tardíos;Hombres;13 Ciudad Real;0
002 Tuberculosis y sus efectos tardíos;Hombres;14 Córdoba;4
002 Tuberculosis y sus efectos tardíos;Hombres;15 Coruña, A;8
002 Tuberculosis y sus efectos tardíos;Hombres;16 Cuenca;1
002 Tuberculosis y sus efectos tardíos;Hombres;20 Gipuzkoa;1
002 Tuberculosis y sus efectos tardíos;Hombres;17 Girona;4
002 Tuberculosis y sus efectos tardíos;Hombres;18 Granada;0
002 Tuberculosis y sus efectos tardíos;Hombres;19 Guadalajara;1
002 Tuberculosis y sus efectos tardíos;Hombres;21 Huelva;1
002 Tuberculosis y sus efectos tardíos;Hombres;22 Huesca;2
002 Tuberculosis y sus efectos tardíos;Hombres;23 Jaén;1
002 Tuberculosis y sus efectos tardíos;Hombres;24 León;2
002 Tuberculosis y sus efectos tardíos;Hombres;25 Lleida;4
002 Tuberculosis y sus efectos tardíos;Hombres;27 Lugo;3
002 Tuberculosis y sus efectos tardíos;Hombres;28 Madrid;12
002 Tuberculosis y sus efectos tardíos;Hombres;29 Málaga;5
002 Tuberculosis y sus efectos tardíos;Hombres;30 Murcia;6
002 Tuberculosis y sus efectos tardíos;Hombres;31 Navarra;2
002 Tuberculosis y sus efectos tardíos;Hombres;32 Ourense;1
002 Tuberculosis y sus efectos tardíos;Hombres;34 Palencia;2
002 Tuberculosis y sus efectos tardíos;Hombres;35 Palmas, Las;3
002 Tuberculosis y sus efectos tardíos;Hombres;36 Pontevedra;4
002 Tuberculosis y sus efectos tardíos;Hombres;26 Rioja, La;1
002 Tuberculosis y sus efectos tardíos;Hombres;37 Salamanca;1
002 Tuberculosis y sus efectos tardíos;Hombres;38 Santa Cruz de Tenerife;0
002 Tuberculosis y sus efectos tardíos;Hombres;40 Segovia;0
002 Tuberculosis y sus efectos tardíos;Hombres;41 Sevilla;6
002 Tuberculosis y sus efectos tardíos;Hombres;42 Soria;0
002 Tuberculosis y sus efectos tardíos;Hombres;43 Tarragona;0
002 Tuberculosis y sus efectos tardíos;Hombres;44 Teruel;0
002 Tuberculosis y sus efectos tardíos;Hombres;45 Toledo;1
002 Tuberculosis y sus efectos tardíos;Hombres;46 Valencia/València;8
002 Tuberculosis y sus efectos tardíos;Hombres;47 Valladolid;3
002 Tuberculosis y sus efectos tardíos;Hombres;49 Zamora;2
002 Tuberculosis y sus efectos tardíos;Hombres;50 Zaragoza;4
002 Tuberculosis y sus efectos tardíos;Hombres;51 Ceuta;0
002 Tuberculosis y sus efectos tardíos;Hombres;52 Melilla;0
002 Tuberculosis y sus efectos tardíos;Hombres;Extranjero;1
002 Tuberculosis y sus efectos tardíos;Mujeres;Total;83
002 Tuberculosis y sus efectos tardíos;Mujeres;02 Albacete;0
002 Tuberculosis y sus efectos tardíos;Mujeres;03 Alicante/Alacant;3
002 Tuberculosis y sus efectos tardíos;Mujeres;04 Almería;0
002 Tuberculosis y sus efectos tardíos;Mujeres;01 Araba/Álava;0
002 Tuberculosis y sus efectos tardíos;Mujeres;33 Asturias;7
002 Tuberculosis y sus efectos tardíos;Mujeres;05 Ávila;0
002 Tuberculosis y sus efectos tardíos;Mujeres;06 Badajoz;0
