Total Nacional;Comunidades y Ciudades Autónomas;Situación laboral;Total
Total Nacional;01 Andalucía;Total;476,96
Total Nacional;01 Andalucía;Colegiados no jubilados;405,68
Total Nacional;01 Andalucía;Colegiados jubilados;71,28
Total Nacional;01 Andalucía;No consta;0,00
Total Nacional;02 Aragón;Total;676,38
Total Nacional;02 Aragón;Colegiados no jubilados;557,73
Total Nacional;02 Aragón;Colegiados jubilados;118,65
Total Nacional;02 Aragón;No consta;0,00
Total Nacional;03 Asturias, Principado de;Total;635,99
Total Nacional;03 Asturias, Principado de;Colegiados no jubilados;519,03
Total Nacional;03 Asturias, Principado de;Colegiados jubilados;116,97
Total Nacional;03 Asturias, Principado de;No consta;0,00
Total Nacional;04 Balears, Illes;Total;481,40
Total Nacional;04 Balears, Illes;Colegiados no jubilados;430,30
Total Nacional;04 Balears, Illes;Colegiados jubilados;51,09
Total Nacional;04 Balears, Illes;No consta;0,00
Total Nacional;05 Canarias;Total;493,71
Total Nacional;05 Canarias;Colegiados no jubilados;448,22
Total Nacional;05 Canarias;Colegiados jubilados;45,50
Total Nacional;05 Canarias;No consta;0,00
Total Nacional;06 Cantabria;Total;631,32
Total Nacional;06 Cantabria;Colegiados no jubilados;531,85
Total Nacional;06 Cantabria;Colegiados jubilados;99,46
Total Nacional;06 Cantabria;No consta;0,00
Total Nacional;07 Castilla y León;Total;617,78
Total Nacional;07 Castilla y León;Colegiados no jubilados;502,28
Total Nacional;07 Castilla y León;Colegiados jubilados;115,50
Total Nacional;07 Castilla y León;No consta;0,00
Total Nacional;08 Castilla - La Mancha;Total;436,80
Total Nacional;08 Castilla - La Mancha;Colegiados no jubilados;377,83
Total Nacional;08 Castilla - La Mancha;Colegiados jubilados;58,97
Total Nacional;08 Castilla - La Mancha;No consta;0,00
Total Nacional;09 Cataluña;Total;562,56
Total Nacional;09 Cataluña;Colegiados no jubilados;476,34
Total Nacional;09 Cataluña;Colegiados jubilados;86,22
Total Nacional;09 Cataluña;No consta;0,00
Total Nacional;10 Comunitat Valenciana;Total;514,93
Total Nacional;10 Comunitat Valenciana;Colegiados no jubilados;438,41
Total Nacional;10 Comunitat Valenciana;Colegiados jubilados;76,52
Total Nacional;10 Comunitat Valenciana;No consta;0,00
Total Nacional;11 Extremadura;Total;528,50
Total Nacional;11 Extremadura;Colegiados no jubilados;464,06
Total Nacional;11 Extremadura;Colegiados jubilados;64,43
Total Nacional;11 Extremadura;No consta;0,00
Total Nacional;12 Galicia;Total;522,62
Total Nacional;12 Galicia;Colegiados no jubilados;450,60
Total Nacional;12 Galicia;Colegiados jubilados;72,02
Total Nacional;12 Galicia;No consta;0,00
Total Nacional;13 Madrid, Comunidad de;Total;677,20
Total Nacional;13 Madrid, Comunidad de;Colegiados no jubilados;602,69
Total Nacional;13 Madrid, Comunidad de;Colegiados jubilados;74,50
Total Nacional;13 Madrid, Comunidad de;No consta;0,00
Total Nacional;14 Murcia, Región de;Total;498,95
Total Nacional;14 Murcia, Región de;Colegiados no jubilados;450,89
Total Nacional;14 Murcia, Región de;Colegiados jubilados;48,06
Total Nacional;14 Murcia, Región de;No consta;0,00
Total Nacional;15 Navarra, Comunidad Foral de;Total;640,83
Total Nacional;15 Navarra, Comunidad Foral de;Colegiados no jubilados;541,67
Total Nacional;15 Navarra, Comunidad Foral de;Colegiados jubilados;99,16
Total Nacional;15 Navarra, Comunidad Foral de;No consta;0,00
Total Nacional;16 País Vasco;Total;636,22
Total Nacional;16 País Vasco;Colegiados no jubilados;548,13
Total Nacional;16 País Vasco;Colegiados jubilados;88,09
Total Nacional;16 País Vasco;No consta;0,00
Total Nacional;17 Rioja, La;Total;542,04
Total Nacional;17 Rioja, La;Colegiados no jubilados;455,10
Total Nacional;17 Rioja, La;Colegiados jubilados;86,94
Total Nacional;17 Rioja, La;No consta;0,00
Total Nacional;18 Ceuta;Total;391,78
Total Nacional;18 Ceuta;Colegiados no jubilados;360,11
Total Nacional;18 Ceuta;Colegiados jubilados;31,67
Total Nacional;18 Ceuta;No consta;0,00
Total Nacional;19 Melilla;Total;347,29
Total Nacional;19 Melilla;Colegiados no jubilados;316,78
Total Nacional;19 Melilla;Colegiados jubilados;30,50
Total Nacional;19 Melilla;No consta;0,00
