Nacional;Comunidades y Ciudades Autónomas;Causas (lista reducida);Edad;Sexo;Total
Total Nacional;02 Aragón;081 XV.Embarazo, parto y puerperio;De 50 a 54 años;Hombres;0
Total Nacional;02 Aragón;081 XV.Embarazo, parto y puerperio;De 50 a 54 años;Mujeres;0
Total Nacional;02 Aragón;081 XV.Embarazo, parto y puerperio;De 55 a 59 años;Hombres;0
Total Nacional;02 Aragón;081 XV.Embarazo, parto y puerperio;De 55 a 59 años;Mujeres;0
Total Nacional;02 Aragón;081 XV.Embarazo, parto y puerperio;De 60 a 64 años;Hombres;0
Total Nacional;02 Aragón;081 XV.Embarazo, parto y puerperio;De 60 a 64 años;Mujeres;0
Total Nacional;02 Aragón;081 XV.Embarazo, parto y puerperio;De 65 a 69 años;Hombres;0
Total Nacional;02 Aragón;081 XV.Embarazo, parto y puerperio;De 65 a 69 años;Mujeres;0
Total Nacional;02 Aragón;081 XV.Embarazo, parto y puerperio;De 70 a 74 años;Hombres;0
Total Nacional;02 Aragón;081 XV.Embarazo, parto y puerperio;De 70 a 74 años;Mujeres;0
Total Nacional;02 Aragón;081 XV.Embarazo, parto y puerperio;De 75 a 79 años;Hombres;0
Total Nacional;02 Aragón;081 XV.Embarazo, parto y puerperio;De 75 a 79 años;Mujeres;0
Total Nacional;02 Aragón;081 XV.Embarazo, parto y puerperio;De 80 a 84 años;Hombres;0
Total Nacional;02 Aragón;081 XV.Embarazo, parto y puerperio;De 80 a 84 años;Mujeres;0
Total Nacional;02 Aragón;081 XV.Embarazo, parto y puerperio;De 85 a 89 años;Hombres;0
Total Nacional;02 Aragón;081 XV.Embarazo, parto y puerperio;De 85 a 89 años;Mujeres;0
Total Nacional;02 Aragón;081 XV.Embarazo, parto y puerperio;De 90 a 94 años;Hombres;0
Total Nacional;02 Aragón;081 XV.Embarazo, parto y puerperio;De 90 a 94 años;Mujeres;0
Total Nacional;02 Aragón;081 XV.Embarazo, parto y puerperio;De 95 años y más;Hombres;0
Total Nacional;02 Aragón;081 XV.Embarazo, parto y puerperio;De 95 años y más;Mujeres;0
Total Nacional;02 Aragón;082 XVI.Afecciones originadas en el periodo perinatal;De 1 a 14 años;Hombres;0
Total Nacional;02 Aragón;082 XVI.Afecciones originadas en el periodo perinatal;De 1 a 14 años;Mujeres;1
Total Nacional;02 Aragón;082 XVI.Afecciones originadas en el periodo perinatal;De 15 a 29 años;Hombres;1
Total Nacional;02 Aragón;082 XVI.Afecciones originadas en el periodo perinatal;De 15 a 29 años;Mujeres;0
Total Nacional;02 Aragón;082 XVI.Afecciones originadas en el periodo perinatal;De 30 a 39 años;Hombres;1
Total Nacional;02 Aragón;082 XVI.Afecciones originadas en el periodo perinatal;De 30 a 39 años;Mujeres;0
Total Nacional;02 Aragón;082 XVI.Afecciones originadas en el periodo perinatal;De 40 a 44 años;Hombres;0
Total Nacional;02 Aragón;082 XVI.Afecciones originadas en el periodo perinatal;De 40 a 44 años;Mujeres;0
Total Nacional;02 Aragón;082 XVI.Afecciones originadas en el periodo perinatal;De 45 a 49 años;Hombres;0
Total Nacional;02 Aragón;082 XVI.Afecciones originadas en el periodo perinatal;De 45 a 49 años;Mujeres;0
Total Nacional;02 Aragón;082 XVI.Afecciones originadas en el periodo perinatal;De 50 a 54 años;Hombres;0
Total Nacional;02 Aragón;082 XVI.Afecciones originadas en el periodo perinatal;De 50 a 54 años;Mujeres;0
Total Nacional;02 Aragón;082 XVI.Afecciones originadas en el periodo perinatal;De 55 a 59 años;Hombres;0
Total Nacional;02 Aragón;082 XVI.Afecciones originadas en el periodo perinatal;De 55 a 59 años;Mujeres;0
Total Nacional;02 Aragón;082 XVI.Afecciones originadas en el periodo perinatal;De 60 a 64 años;Hombres;0
Total Nacional;02 Aragón;082 XVI.Afecciones originadas en el periodo perinatal;De 60 a 64 años;Mujeres;0
Total Nacional;02 Aragón;082 XVI.Afecciones originadas en el periodo perinatal;De 65 a 69 años;Hombres;1
Total Nacional;02 Aragón;082 XVI.Afecciones originadas en el periodo perinatal;De 65 a 69 años;Mujeres;0
Total Nacional;02 Aragón;082 XVI.Afecciones originadas en el periodo perinatal;De 70 a 74 años;Hombres;0
Total Nacional;02 Aragón;082 XVI.Afecciones originadas en el periodo perinatal;De 70 a 74 años;Mujeres;0
Total Nacional;02 Aragón;082 XVI.Afecciones originadas en el periodo perinatal;De 75 a 79 años;Hombres;0
Total Nacional;02 Aragón;082 XVI.Afecciones originadas en el periodo perinatal;De 75 a 79 años;Mujeres;0
Total Nacional;02 Aragón;082 XVI.Afecciones originadas en el periodo perinatal;De 80 a 84 años;Hombres;0
Total Nacional;02 Aragón;082 XVI.Afecciones originadas en el periodo perinatal;De 80 a 84 años;Mujeres;0
Total Nacional;02 Aragón;082 XVI.Afecciones originadas en el periodo perinatal;De 85 a 89 años;Hombres;0
Total Nacional;02 Aragón;082 XVI.Afecciones originadas en el periodo perinatal;De 85 a 89 años;Mujeres;0
Total Nacional;02 Aragón;082 XVI.Afecciones originadas en el periodo perinatal;De 90 a 94 años;Hombres;0
Total Nacional;02 Aragón;082 XVI.Afecciones originadas en el periodo perinatal;De 90 a 94 años;Mujeres;0
Total Nacional;02 Aragón;082 XVI.Afecciones originadas en el periodo perinatal;De 95 años y más;Hombres;0
Total Nacional;02 Aragón;082 XVI.Afecciones originadas en el periodo perinatal;De 95 años y más;Mujeres;0
Total Nacional;02 Aragón;083-085 XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas;De 1 a 14 años;Hombres;1
Total Nacional;02 Aragón;083-085 XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas;De 1 a 14 años;Mujeres;2
Total Nacional;02 Aragón;083-085 XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas;De 15 a 29 años;Hombres;0
Total Nacional;02 Aragón;083-085 XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas;De 15 a 29 años;Mujeres;1
Total Nacional;02 Aragón;083-085 XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas;De 30 a 39 años;Hombres;0
Total Nacional;02 Aragón;083-085 XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas;De 30 a 39 años;Mujeres;0
Total Nacional;02 Aragón;083-085 XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas;De 40 a 44 años;Hombres;0
Total Nacional;02 Aragón;083-085 XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas;De 40 a 44 años;Mujeres;0
Total Nacional;02 Aragón;083-085 XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas;De 45 a 49 años;Hombres;1
Total Nacional;02 Aragón;083-085 XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas;De 45 a 49 años;Mujeres;1
Total Nacional;02 Aragón;083-085 XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas;De 50 a 54 años;Hombres;0
Total Nacional;02 Aragón;083-085 XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas;De 50 a 54 años;Mujeres;0
Total Nacional;02 Aragón;083-085 XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas;De 55 a 59 años;Hombres;2
Total Nacional;02 Aragón;083-085 XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas;De 55 a 59 años;Mujeres;2
Total Nacional;02 Aragón;083-085 XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas;De 60 a 64 años;Hombres;0
Total Nacional;02 Aragón;083-085 XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas;De 60 a 64 años;Mujeres;3
Total Nacional;02 Aragón;083-085 XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas;De 65 a 69 años;Hombres;3
Total Nacional;02 Aragón;083-085 XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas;De 65 a 69 años;Mujeres;1
Total Nacional;02 Aragón;083-085 XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas;De 70 a 74 años;Hombres;0
Total Nacional;02 Aragón;083-085 XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas;De 70 a 74 años;Mujeres;1
Total Nacional;02 Aragón;083-085 XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas;De 75 a 79 años;Hombres;0
Total Nacional;02 Aragón;083-085 XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas;De 75 a 79 años;Mujeres;0
Total Nacional;02 Aragón;083-085 XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas;De 80 a 84 años;Hombres;0
Total Nacional;02 Aragón;083-085 XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas;De 80 a 84 años;Mujeres;4
Total Nacional;02 Aragón;083-085 XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas;De 85 a 89 años;Hombres;0
Total Nacional;02 Aragón;083-085 XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas;De 85 a 89 años;Mujeres;0
Total Nacional;02 Aragón;083-085 XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas;De 90 a 94 años;Hombres;0
Total Nacional;02 Aragón;083-085 XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas;De 90 a 94 años;Mujeres;1
Total Nacional;02 Aragón;083-085 XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas;De 95 años y más;Hombres;0
Total Nacional;02 Aragón;083-085 XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas;De 95 años y más;Mujeres;0
Total Nacional;02 Aragón;086-089 XVIII.Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;De 1 a 14 años;Hombres;1
Total Nacional;02 Aragón;086-089 XVIII.Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;De 1 a 14 años;Mujeres;0
Total Nacional;02 Aragón;086-089 XVIII.Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;De 15 a 29 años;Hombres;1
Total Nacional;02 Aragón;086-089 XVIII.Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;De 15 a 29 años;Mujeres;1
Total Nacional;02 Aragón;086-089 XVIII.Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;De 30 a 39 años;Hombres;1
Total Nacional;02 Aragón;086-089 XVIII.Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;De 30 a 39 años;Mujeres;0
Total Nacional;02 Aragón;086-089 XVIII.Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;De 40 a 44 años;Hombres;2
Total Nacional;02 Aragón;086-089 XVIII.Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;De 40 a 44 años;Mujeres;1
Total Nacional;02 Aragón;086-089 XVIII.Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;De 45 a 49 años;Hombres;1
Total Nacional;02 Aragón;086-089 XVIII.Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;De 45 a 49 años;Mujeres;0
Total Nacional;02 Aragón;086-089 XVIII.Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;De 50 a 54 años;Hombres;2
Total Nacional;02 Aragón;086-089 XVIII.Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;De 50 a 54 años;Mujeres;0
Total Nacional;02 Aragón;086-089 XVIII.Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;De 55 a 59 años;Hombres;1
Total Nacional;02 Aragón;086-089 XVIII.Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;De 55 a 59 años;Mujeres;1
Total Nacional;02 Aragón;086-089 XVIII.Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;De 60 a 64 años;Hombres;3
Total Nacional;02 Aragón;086-089 XVIII.Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;De 60 a 64 años;Mujeres;0
Total Nacional;02 Aragón;086-089 XVIII.Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;De 65 a 69 años;Hombres;3
Total Nacional;02 Aragón;086-089 XVIII.Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;De 65 a 69 años;Mujeres;0
Total Nacional;02 Aragón;086-089 XVIII.Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;De 70 a 74 años;Hombres;4
Total Nacional;02 Aragón;086-089 XVIII.Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;De 70 a 74 años;Mujeres;1
Total Nacional;02 Aragón;086-089 XVIII.Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;De 75 a 79 años;Hombres;1
Total Nacional;02 Aragón;086-089 XVIII.Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;De 75 a 79 años;Mujeres;1
Total Nacional;02 Aragón;086-089 XVIII.Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;De 80 a 84 años;Hombres;2
Total Nacional;02 Aragón;086-089 XVIII.Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;De 80 a 84 años;Mujeres;0
Total Nacional;02 Aragón;086-089 XVIII.Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;De 85 a 89 años;Hombres;1
Total Nacional;02 Aragón;086-089 XVIII.Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;De 85 a 89 años;Mujeres;3
Total Nacional;02 Aragón;086-089 XVIII.Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;De 90 a 94 años;Hombres;6
Total Nacional;02 Aragón;086-089 XVIII.Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;De 90 a 94 años;Mujeres;10
Total Nacional;02 Aragón;086-089 XVIII.Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;De 95 años y más;Hombres;4
Total Nacional;02 Aragón;086-089 XVIII.Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;De 95 años y más;Mujeres;18
Total Nacional;02 Aragón;090-102 XX.Causas externas de mortalidad;De 1 a 14 años;Hombres;2
Total Nacional;02 Aragón;090-102 XX.Causas externas de mortalidad;De 1 a 14 años;Mujeres;2
Total Nacional;02 Aragón;090-102 XX.Causas externas de mortalidad;De 15 a 29 años;Hombres;19
Total Nacional;02 Aragón;090-102 XX.Causas externas de mortalidad;De 15 a 29 años;Mujeres;1
Total Nacional;02 Aragón;090-102 XX.Causas externas de mortalidad;De 30 a 39 años;Hombres;31
Total Nacional;02 Aragón;090-102 XX.Causas externas de mortalidad;De 30 a 39 años;Mujeres;4
Total Nacional;02 Aragón;090-102 XX.Causas externas de mortalidad;De 40 a 44 años;Hombres;14
Total Nacional;02 Aragón;090-102 XX.Causas externas de mortalidad;De 40 a 44 años;Mujeres;10
Total Nacional;02 Aragón;090-102 XX.Causas externas de mortalidad;De 45 a 49 años;Hombres;22
Total Nacional;02 Aragón;090-102 XX.Causas externas de mortalidad;De 45 a 49 años;Mujeres;7
Total Nacional;02 Aragón;090-102 XX.Causas externas de mortalidad;De 50 a 54 años;Hombres;16
Total Nacional;02 Aragón;090-102 XX.Causas externas de mortalidad;De 50 a 54 años;Mujeres;8
Total Nacional;02 Aragón;090-102 XX.Causas externas de mortalidad;De 55 a 59 años;Hombres;20
Total Nacional;02 Aragón;090-102 XX.Causas externas de mortalidad;De 55 a 59 años;Mujeres;7
Total Nacional;02 Aragón;090-102 XX.Causas externas de mortalidad;De 60 a 64 años;Hombres;32
Total Nacional;02 Aragón;090-102 XX.Causas externas de mortalidad;De 60 a 64 años;Mujeres;12
Total Nacional;02 Aragón;090-102 XX.Causas externas de mortalidad;De 65 a 69 años;Hombres;20
Total Nacional;02 Aragón;090-102 XX.Causas externas de mortalidad;De 65 a 69 años;Mujeres;7
Total Nacional;02 Aragón;090-102 XX.Causas externas de mortalidad;De 70 a 74 años;Hombres;12
Total Nacional;02 Aragón;090-102 XX.Causas externas de mortalidad;De 70 a 74 años;Mujeres;8
Total Nacional;02 Aragón;090-102 XX.Causas externas de mortalidad;De 75 a 79 años;Hombres;19
Total Nacional;02 Aragón;090-102 XX.Causas externas de mortalidad;De 75 a 79 años;Mujeres;6
Total Nacional;02 Aragón;090-102 XX.Causas externas de mortalidad;De 80 a 84 años;Hombres;19
Total Nacional;02 Aragón;090-102 XX.Causas externas de mortalidad;De 80 a 84 años;Mujeres;15
Total Nacional;02 Aragón;090-102 XX.Causas externas de mortalidad;De 85 a 89 años;Hombres;16
Total Nacional;02 Aragón;090-102 XX.Causas externas de mortalidad;De 85 a 89 años;Mujeres;13
Total Nacional;02 Aragón;090-102 XX.Causas externas de mortalidad;De 90 a 94 años;Hombres;14
Total Nacional;02 Aragón;090-102 XX.Causas externas de mortalidad;De 90 a 94 años;Mujeres;19
Total Nacional;02 Aragón;090-102 XX.Causas externas de mortalidad;De 95 años y más;Hombres;6
Total Nacional;02 Aragón;090-102 XX.Causas externas de mortalidad;De 95 años y más;Mujeres;11
Total Nacional;03 Asturias, Principado de;001-008 I.Enfermedades infecciosas y parasitarias;De 1 a 14 años;Hombres;0
Total Nacional;03 Asturias, Principado de;001-008 I.Enfermedades infecciosas y parasitarias;De 1 a 14 años;Mujeres;0
Total Nacional;03 Asturias, Principado de;001-008 I.Enfermedades infecciosas y parasitarias;De 15 a 29 años;Hombres;0
Total Nacional;03 Asturias, Principado de;001-008 I.Enfermedades infecciosas y parasitarias;De 15 a 29 años;Mujeres;0
Total Nacional;03 Asturias, Principado de;001-008 I.Enfermedades infecciosas y parasitarias;De 30 a 39 años;Hombres;1
Total Nacional;03 Asturias, Principado de;001-008 I.Enfermedades infecciosas y parasitarias;De 30 a 39 años;Mujeres;0
Total Nacional;03 Asturias, Principado de;001-008 I.Enfermedades infecciosas y parasitarias;De 40 a 44 años;Hombres;0
Total Nacional;03 Asturias, Principado de;001-008 I.Enfermedades infecciosas y parasitarias;De 40 a 44 años;Mujeres;0
Total Nacional;03 Asturias, Principado de;001-008 I.Enfermedades infecciosas y parasitarias;De 45 a 49 años;Hombres;3
Total Nacional;03 Asturias, Principado de;001-008 I.Enfermedades infecciosas y parasitarias;De 45 a 49 años;Mujeres;0
Total Nacional;03 Asturias, Principado de;001-008 I.Enfermedades infecciosas y parasitarias;De 50 a 54 años;Hombres;3
Total Nacional;03 Asturias, Principado de;001-008 I.Enfermedades infecciosas y parasitarias;De 50 a 54 años;Mujeres;1
Total Nacional;03 Asturias, Principado de;001-008 I.Enfermedades infecciosas y parasitarias;De 55 a 59 años;Hombres;8
Total Nacional;03 Asturias, Principado de;001-008 I.Enfermedades infecciosas y parasitarias;De 55 a 59 años;Mujeres;2
Total Nacional;03 Asturias, Principado de;001-008 I.Enfermedades infecciosas y parasitarias;De 60 a 64 años;Hombres;9
Total Nacional;03 Asturias, Principado de;001-008 I.Enfermedades infecciosas y parasitarias;De 60 a 64 años;Mujeres;2
Total Nacional;03 Asturias, Principado de;001-008 I.Enfermedades infecciosas y parasitarias;De 65 a 69 años;Hombres;8
Total Nacional;03 Asturias, Principado de;001-008 I.Enfermedades infecciosas y parasitarias;De 65 a 69 años;Mujeres;10
Total Nacional;03 Asturias, Principado de;001-008 I.Enfermedades infecciosas y parasitarias;De 70 a 74 años;Hombres;9
Total Nacional;03 Asturias, Principado de;001-008 I.Enfermedades infecciosas y parasitarias;De 70 a 74 años;Mujeres;8
Total Nacional;03 Asturias, Principado de;001-008 I.Enfermedades infecciosas y parasitarias;De 75 a 79 años;Hombres;28
Total Nacional;03 Asturias, Principado de;001-008 I.Enfermedades infecciosas y parasitarias;De 75 a 79 años;Mujeres;13
Total Nacional;03 Asturias, Principado de;001-008 I.Enfermedades infecciosas y parasitarias;De 80 a 84 años;Hombres;25
Total Nacional;03 Asturias, Principado de;001-008 I.Enfermedades infecciosas y parasitarias;De 80 a 84 años;Mujeres;19
Total Nacional;03 Asturias, Principado de;001-008 I.Enfermedades infecciosas y parasitarias;De 85 a 89 años;Hombres;31
Total Nacional;03 Asturias, Principado de;001-008 I.Enfermedades infecciosas y parasitarias;De 85 a 89 años;Mujeres;50
Total Nacional;03 Asturias, Principado de;001-008 I.Enfermedades infecciosas y parasitarias;De 90 a 94 años;Hombres;37
Total Nacional;03 Asturias, Principado de;001-008 I.Enfermedades infecciosas y parasitarias;De 90 a 94 años;Mujeres;63
Total Nacional;03 Asturias, Principado de;001-008 I.Enfermedades infecciosas y parasitarias;De 95 años y más;Hombres;16
Total Nacional;03 Asturias, Principado de;001-008 I.Enfermedades infecciosas y parasitarias;De 95 años y más;Mujeres;39
Total Nacional;03 Asturias, Principado de;009-041 II.Tumores;De 1 a 14 años;Hombres;2
Total Nacional;03 Asturias, Principado de;009-041 II.Tumores;De 1 a 14 años;Mujeres;1
Total Nacional;03 Asturias, Principado de;009-041 II.Tumores;De 15 a 29 años;Hombres;3
Total Nacional;03 Asturias, Principado de;009-041 II.Tumores;De 15 a 29 años;Mujeres;1
Total Nacional;03 Asturias, Principado de;009-041 II.Tumores;De 30 a 39 años;Hombres;6
Total Nacional;03 Asturias, Principado de;009-041 II.Tumores;De 30 a 39 años;Mujeres;2
Total Nacional;03 Asturias, Principado de;009-041 II.Tumores;De 40 a 44 años;Hombres;3
Total Nacional;03 Asturias, Principado de;009-041 II.Tumores;De 40 a 44 años;Mujeres;12
Total Nacional;03 Asturias, Principado de;009-041 II.Tumores;De 45 a 49 años;Hombres;26
Total Nacional;03 Asturias, Principado de;009-041 II.Tumores;De 45 a 49 años;Mujeres;31
Total Nacional;03 Asturias, Principado de;009-041 II.Tumores;De 50 a 54 años;Hombres;52
Total Nacional;03 Asturias, Principado de;009-041 II.Tumores;De 50 a 54 años;Mujeres;41
Total Nacional;03 Asturias, Principado de;009-041 II.Tumores;De 55 a 59 años;Hombres;86
Total Nacional;03 Asturias, Principado de;009-041 II.Tumores;De 55 a 59 años;Mujeres;62
Total Nacional;03 Asturias, Principado de;009-041 II.Tumores;De 60 a 64 años;Hombres;195
Total Nacional;03 Asturias, Principado de;009-041 II.Tumores;De 60 a 64 años;Mujeres;115
Total Nacional;03 Asturias, Principado de;009-041 II.Tumores;De 65 a 69 años;Hombres;257
Total Nacional;03 Asturias, Principado de;009-041 II.Tumores;De 65 a 69 años;Mujeres;176
Total Nacional;03 Asturias, Principado de;009-041 II.Tumores;De 70 a 74 años;Hombres;305
Total Nacional;03 Asturias, Principado de;009-041 II.Tumores;De 70 a 74 años;Mujeres;166
Total Nacional;03 Asturias, Principado de;009-041 II.Tumores;De 75 a 79 años;Hombres;330
Total Nacional;03 Asturias, Principado de;009-041 II.Tumores;De 75 a 79 años;Mujeres;225
Total Nacional;03 Asturias, Principado de;009-041 II.Tumores;De 80 a 84 años;Hombres;310
Total Nacional;03 Asturias, Principado de;009-041 II.Tumores;De 80 a 84 años;Mujeres;196
Total Nacional;03 Asturias, Principado de;009-041 II.Tumores;De 85 a 89 años;Hombres;265
Total Nacional;03 Asturias, Principado de;009-041 II.Tumores;De 85 a 89 años;Mujeres;248
Total Nacional;03 Asturias, Principado de;009-041 II.Tumores;De 90 a 94 años;Hombres;148
Total Nacional;03 Asturias, Principado de;009-041 II.Tumores;De 90 a 94 años;Mujeres;186
Total Nacional;03 Asturias, Principado de;009-041 II.Tumores;De 95 años y más;Hombres;44
Total Nacional;03 Asturias, Principado de;009-041 II.Tumores;De 95 años y más;Mujeres;86
Total Nacional;03 Asturias, Principado de;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 1 a 14 años;Hombres;1
Total Nacional;03 Asturias, Principado de;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 1 a 14 años;Mujeres;0
Total Nacional;03 Asturias, Principado de;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 15 a 29 años;Hombres;2
Total Nacional;03 Asturias, Principado de;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 15 a 29 años;Mujeres;0
Total Nacional;03 Asturias, Principado de;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 30 a 39 años;Hombres;1
Total Nacional;03 Asturias, Principado de;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 30 a 39 años;Mujeres;0
Total Nacional;03 Asturias, Principado de;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 40 a 44 años;Hombres;1
Total Nacional;03 Asturias, Principado de;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 40 a 44 años;Mujeres;1
Total Nacional;03 Asturias, Principado de;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 45 a 49 años;Hombres;4
Total Nacional;03 Asturias, Principado de;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 45 a 49 años;Mujeres;0
Total Nacional;03 Asturias, Principado de;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 50 a 54 años;Hombres;5
Total Nacional;03 Asturias, Principado de;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 50 a 54 años;Mujeres;4
Total Nacional;03 Asturias, Principado de;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 55 a 59 años;Hombres;7
Total Nacional;03 Asturias, Principado de;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 55 a 59 años;Mujeres;3
Total Nacional;03 Asturias, Principado de;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 60 a 64 años;Hombres;11
Total Nacional;03 Asturias, Principado de;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 60 a 64 años;Mujeres;3
Total Nacional;03 Asturias, Principado de;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 65 a 69 años;Hombres;21
Total Nacional;03 Asturias, Principado de;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 65 a 69 años;Mujeres;14
Total Nacional;03 Asturias, Principado de;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 70 a 74 años;Hombres;27
Total Nacional;03 Asturias, Principado de;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 70 a 74 años;Mujeres;19
Total Nacional;03 Asturias, Principado de;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 75 a 79 años;Hombres;39
Total Nacional;03 Asturias, Principado de;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 75 a 79 años;Mujeres;37
Total Nacional;03 Asturias, Principado de;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 80 a 84 años;Hombres;48
Total Nacional;03 Asturias, Principado de;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 80 a 84 años;Mujeres;64
Total Nacional;03 Asturias, Principado de;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 85 a 89 años;Hombres;45
Total Nacional;03 Asturias, Principado de;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 85 a 89 años;Mujeres;88
Total Nacional;03 Asturias, Principado de;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 90 a 94 años;Hombres;32
Total Nacional;03 Asturias, Principado de;050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;De 90 a 94 años;Mujeres;88
