Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Indicadores de renta media;Periodo;Total
Total Nacional;Asturias, Principado de;Asturias;;Renta bruta media por persona;2018;15.391
Total Nacional;Asturias, Principado de;Asturias;;Renta bruta media por hogar;2022;40.199
Total Nacional;Asturias, Principado de;Asturias;;Renta bruta media por hogar;2021;37.978
Total Nacional;Asturias, Principado de;Asturias;;Renta bruta media por hogar;2020;36.583
Total Nacional;Asturias, Principado de;Asturias;;Renta bruta media por hogar;2019;36.726
Total Nacional;Asturias, Principado de;Asturias;;Renta bruta media por hogar;2018;35.298
Total Nacional;Balears, Illes;Balears, Illes;;Renta neta media por persona;2022;14.740
Total Nacional;Balears, Illes;Balears, Illes;;Renta neta media por persona;2021;13.468
Total Nacional;Balears, Illes;Balears, Illes;;Renta neta media por persona;2020;12.486
Total Nacional;Balears, Illes;Balears, Illes;;Renta neta media por persona;2019;13.428
Total Nacional;Balears, Illes;Balears, Illes;;Renta neta media por persona;2018;12.893
Total Nacional;Balears, Illes;Balears, Illes;;Renta neta media por hogar;2022;40.597
Total Nacional;Balears, Illes;Balears, Illes;;Renta neta media por hogar;2021;36.905
Total Nacional;Balears, Illes;Balears, Illes;;Renta neta media por hogar;2020;34.531
Total Nacional;Balears, Illes;Balears, Illes;;Renta neta media por hogar;2019;37.375
Total Nacional;Balears, Illes;Balears, Illes;;Renta neta media por hogar;2018;35.728
Total Nacional;Balears, Illes;Balears, Illes;;Media de la renta por unidad de consumo;2022;22.928
Total Nacional;Balears, Illes;Balears, Illes;;Media de la renta por unidad de consumo;2021;20.936
Total Nacional;Balears, Illes;Balears, Illes;;Media de la renta por unidad de consumo;2020;19.366
Total Nacional;Balears, Illes;Balears, Illes;;Media de la renta por unidad de consumo;2019;20.823
Total Nacional;Balears, Illes;Balears, Illes;;Media de la renta por unidad de consumo;2018;20.117
Total Nacional;Balears, Illes;Balears, Illes;;Mediana de la renta por unidad de consumo;2022;19.950
Total Nacional;Balears, Illes;Balears, Illes;;Mediana de la renta por unidad de consumo;2021;17.850
Total Nacional;Balears, Illes;Balears, Illes;;Mediana de la renta por unidad de consumo;2020;16.450
Total Nacional;Balears, Illes;Balears, Illes;;Mediana de la renta por unidad de consumo;2019;17.850
Total Nacional;Balears, Illes;Balears, Illes;;Mediana de la renta por unidad de consumo;2018;17.150
Total Nacional;Balears, Illes;Balears, Illes;;Renta bruta media por persona;2022;18.524
Total Nacional;Balears, Illes;Balears, Illes;;Renta bruta media por persona;2021;16.698
Total Nacional;Balears, Illes;Balears, Illes;;Renta bruta media por persona;2020;15.226
Total Nacional;Balears, Illes;Balears, Illes;;Renta bruta media por persona;2019;16.492
Total Nacional;Balears, Illes;Balears, Illes;;Renta bruta media por persona;2018;15.907
Total Nacional;Balears, Illes;Balears, Illes;;Renta bruta media por hogar;2022;51.019
Total Nacional;Balears, Illes;Balears, Illes;;Renta bruta media por hogar;2021;45.755
Total Nacional;Balears, Illes;Balears, Illes;;Renta bruta media por hogar;2020;42.110
Total Nacional;Balears, Illes;Balears, Illes;;Renta bruta media por hogar;2019;45.904
Total Nacional;Balears, Illes;Balears, Illes;;Renta bruta media por hogar;2018;44.083
Total Nacional;Canarias;Palmas, Las;;Renta neta media por persona;2022;12.716
Total Nacional;Canarias;Palmas, Las;;Renta neta media por persona;2021;11.697
Total Nacional;Canarias;Palmas, Las;;Renta neta media por persona;2020;11.172
Total Nacional;Canarias;Palmas, Las;;Renta neta media por persona;2019;11.336
Total Nacional;Canarias;Palmas, Las;;Renta neta media por persona;2018;10.862
Total Nacional;Canarias;Palmas, Las;;Renta neta media por hogar;2022;34.010
Total Nacional;Canarias;Palmas, Las;;Renta neta media por hogar;2021;31.443
Total Nacional;Canarias;Palmas, Las;;Renta neta media por hogar;2020;30.367
Total Nacional;Canarias;Palmas, Las;;Renta neta media por hogar;2019;31.168
Total Nacional;Canarias;Palmas, Las;;Renta neta media por hogar;2018;29.899
Total Nacional;Canarias;Palmas, Las;;Media de la renta por unidad de consumo;2022;19.384
Total Nacional;Canarias;Palmas, Las;;Media de la renta por unidad de consumo;2021;17.823
Total Nacional;Canarias;Palmas, Las;;Media de la renta por unidad de consumo;2020;17.019
Total Nacional;Canarias;Palmas, Las;;Media de la renta por unidad de consumo;2019;17.352
Total Nacional;Canarias;Palmas, Las;;Media de la renta por unidad de consumo;2018;16.659
Total Nacional;Canarias;Palmas, Las;;Mediana de la renta por unidad de consumo;2022;16.450
Total Nacional;Canarias;Palmas, Las;;Mediana de la renta por unidad de consumo;2021;15.050
Total Nacional;Canarias;Palmas, Las;;Mediana de la renta por unidad de consumo;2020;14.350
Total Nacional;Canarias;Palmas, Las;;Mediana de la renta por unidad de consumo;2019;15.050
Total Nacional;Canarias;Palmas, Las;;Mediana de la renta por unidad de consumo;2018;14.350
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por persona;2022;15.200
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por persona;2021;13.912
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por persona;2020;13.182
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por persona;2019;13.428
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por persona;2018;12.849
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por hogar;2022;40.654
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por hogar;2021;37.399
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por hogar;2020;35.832
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por hogar;2019;36.920
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por hogar;2018;35.369
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta neta media por persona;2022;12.237
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta neta media por persona;2021;11.198
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta neta media por persona;2020;10.679
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta neta media por persona;2019;10.770
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta neta media por persona;2018;10.233
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta neta media por hogar;2022;32.485
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta neta media por hogar;2021;29.849
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta neta media por hogar;2020;28.792
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta neta media por hogar;2019;29.388
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta neta media por hogar;2018;27.865
Total Nacional;Canarias;Santa Cruz de Tenerife;;Media de la renta por unidad de consumo;2022;18.744
Total Nacional;Canarias;Santa Cruz de Tenerife;;Media de la renta por unidad de consumo;2021;17.139
Total Nacional;Canarias;Santa Cruz de Tenerife;;Media de la renta por unidad de consumo;2020;16.359
Total Nacional;Canarias;Santa Cruz de Tenerife;;Media de la renta por unidad de consumo;2019;16.549
Total Nacional;Canarias;Santa Cruz de Tenerife;;Media de la renta por unidad de consumo;2018;15.743
Total Nacional;Canarias;Santa Cruz de Tenerife;;Mediana de la renta por unidad de consumo;2022;15.750
Total Nacional;Canarias;Santa Cruz de Tenerife;;Mediana de la renta por unidad de consumo;2021;14.350
Total Nacional;Canarias;Santa Cruz de Tenerife;;Mediana de la renta por unidad de consumo;2020;13.650
Total Nacional;Canarias;Santa Cruz de Tenerife;;Mediana de la renta por unidad de consumo;2019;14.350
Total Nacional;Canarias;Santa Cruz de Tenerife;;Mediana de la renta por unidad de consumo;2018;12.950
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta bruta media por persona;2022;14.471
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta bruta media por persona;2021;13.258
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta bruta media por persona;2020;12.553
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta bruta media por persona;2019;12.693
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta bruta media por persona;2018;12.031
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta bruta media por hogar;2022;38.413
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta bruta media por hogar;2021;35.338
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta bruta media por hogar;2020;33.844
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta bruta media por hogar;2019;34.634
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta bruta media por hogar;2018;32.761
Total Nacional;Cantabria;Cantabria;;Renta neta media por persona;2022;14.211
Total Nacional;Cantabria;Cantabria;;Renta neta media por persona;2021;13.425
Total Nacional;Cantabria;Cantabria;;Renta neta media por persona;2020;12.865
Total Nacional;Cantabria;Cantabria;;Renta neta media por persona;2019;12.852
Total Nacional;Cantabria;Cantabria;;Renta neta media por persona;2018;12.389
Total Nacional;Cantabria;Cantabria;;Renta neta media por hogar;2022;34.461
Total Nacional;Cantabria;Cantabria;;Renta neta media por hogar;2021;32.734
Total Nacional;Cantabria;Cantabria;;Renta neta media por hogar;2020;31.545
Total Nacional;Cantabria;Cantabria;;Renta neta media por hogar;2019;31.698
Total Nacional;Cantabria;Cantabria;;Renta neta media por hogar;2018;30.651
Total Nacional;Cantabria;Cantabria;;Media de la renta por unidad de consumo;2022;20.905
Total Nacional;Cantabria;Cantabria;;Media de la renta por unidad de consumo;2021;19.804
Total Nacional;Cantabria;Cantabria;;Media de la renta por unidad de consumo;2020;19.018
Total Nacional;Cantabria;Cantabria;;Media de la renta por unidad de consumo;2019;19.014
Total Nacional;Cantabria;Cantabria;;Media de la renta por unidad de consumo;2018;18.361
Total Nacional;Cantabria;Cantabria;;Mediana de la renta por unidad de consumo;2022;18.550
Total Nacional;Cantabria;Cantabria;;Mediana de la renta por unidad de consumo;2021;17.850
Total Nacional;Cantabria;Cantabria;;Mediana de la renta por unidad de consumo;2020;17.150
Total Nacional;Cantabria;Cantabria;;Mediana de la renta por unidad de consumo;2019;17.150
Total Nacional;Cantabria;Cantabria;;Mediana de la renta por unidad de consumo;2018;16.450
Total Nacional;Cantabria;Cantabria;;Renta bruta media por persona;2022;17.188
Total Nacional;Cantabria;Cantabria;;Renta bruta media por persona;2021;16.167
Total Nacional;Cantabria;Cantabria;;Renta bruta media por persona;2020;15.386
Total Nacional;Cantabria;Cantabria;;Renta bruta media por persona;2019;15.332
Total Nacional;Cantabria;Cantabria;;Renta bruta media por persona;2018;14.751
Total Nacional;Cantabria;Cantabria;;Renta bruta media por hogar;2022;41.681
Total Nacional;Cantabria;Cantabria;;Renta bruta media por hogar;2021;39.419
Total Nacional;Cantabria;Cantabria;;Renta bruta media por hogar;2020;37.727
Total Nacional;Cantabria;Cantabria;;Renta bruta media por hogar;2019;37.815
Total Nacional;Cantabria;Cantabria;;Renta bruta media por hogar;2018;36.495
Total Nacional;Castilla y León;Ávila;;Renta neta media por persona;2022;12.684
Total Nacional;Castilla y León;Ávila;;Renta neta media por persona;2021;12.123
Total Nacional;Castilla y León;Ávila;;Renta neta media por persona;2020;11.577
Total Nacional;Castilla y León;Ávila;;Renta neta media por persona;2019;11.322
Total Nacional;Castilla y León;Ávila;;Renta neta media por persona;2018;10.822
Total Nacional;Castilla y León;Ávila;;Renta neta media por hogar;2022;28.227
Total Nacional;Castilla y León;Ávila;;Renta neta media por hogar;2021;27.023
Total Nacional;Castilla y León;Ávila;;Renta neta media por hogar;2020;26.065
Total Nacional;Castilla y León;Ávila;;Renta neta media por hogar;2019;25.530
Total Nacional;Castilla y León;Ávila;;Renta neta media por hogar;2018;24.593
Total Nacional;Castilla y León;Ávila;;Media de la renta por unidad de consumo;2022;18.220
Total Nacional;Castilla y León;Ávila;;Media de la renta por unidad de consumo;2021;17.407
Total Nacional;Castilla y León;Ávila;;Media de la renta por unidad de consumo;2020;16.654
Total Nacional;Castilla y León;Ávila;;Media de la renta por unidad de consumo;2019;16.313
Total Nacional;Castilla y León;Ávila;;Media de la renta por unidad de consumo;2018;15.630
Total Nacional;Castilla y León;Ávila;;Mediana de la renta por unidad de consumo;2022;15.750
Total Nacional;Castilla y León;Ávila;;Mediana de la renta por unidad de consumo;2021;15.050
Total Nacional;Castilla y León;Ávila;;Mediana de la renta por unidad de consumo;2020;14.350
Total Nacional;Castilla y León;Ávila;;Mediana de la renta por unidad de consumo;2019;14.350
Total Nacional;Castilla y León;Ávila;;Mediana de la renta por unidad de consumo;2018;13.650
Total Nacional;Castilla y León;Ávila;;Renta bruta media por persona;2022;14.923
Total Nacional;Castilla y León;Ávila;;Renta bruta media por persona;2021;14.184
Total Nacional;Castilla y León;Ávila;;Renta bruta media por persona;2020;13.447
Total Nacional;Castilla y León;Ávila;;Renta bruta media por persona;2019;13.098
Total Nacional;Castilla y León;Ávila;;Renta bruta media por persona;2018;12.501
Total Nacional;Castilla y León;Ávila;;Renta bruta media por hogar;2022;33.209
Total Nacional;Castilla y León;Ávila;;Renta bruta media por hogar;2021;31.617
Total Nacional;Castilla y León;Ávila;;Renta bruta media por hogar;2020;30.276
Total Nacional;Castilla y León;Ávila;;Renta bruta media por hogar;2019;29.536
Total Nacional;Castilla y León;Ávila;;Renta bruta media por hogar;2018;28.410
Total Nacional;Castilla y León;Burgos;;Renta neta media por persona;2022;15.017
Total Nacional;Castilla y León;Burgos;;Renta neta media por persona;2021;14.357
Total Nacional;Castilla y León;Burgos;;Renta neta media por persona;2020;13.777
Total Nacional;Castilla y León;Burgos;;Renta neta media por persona;2019;13.713
Total Nacional;Castilla y León;Burgos;;Renta neta media por persona;2018;13.316
Total Nacional;Castilla y León;Burgos;;Renta neta media por hogar;2022;34.530
Total Nacional;Castilla y León;Burgos;;Renta neta media por hogar;2021;33.203
Total Nacional;Castilla y León;Burgos;;Renta neta media por hogar;2020;32.078
Total Nacional;Castilla y León;Burgos;;Renta neta media por hogar;2019;32.106
Total Nacional;Castilla y León;Burgos;;Renta neta media por hogar;2018;31.240
Total Nacional;Castilla y León;Burgos;;Media de la renta por unidad de consumo;2022;21.779
Total Nacional;Castilla y León;Burgos;;Media de la renta por unidad de consumo;2021;20.846
Total Nacional;Castilla y León;Burgos;;Media de la renta por unidad de consumo;2020;20.035
Total Nacional;Castilla y León;Burgos;;Media de la renta por unidad de consumo;2019;20.000
Total Nacional;Castilla y León;Burgos;;Media de la renta por unidad de consumo;2018;19.461
Total Nacional;Castilla y León;Burgos;;Mediana de la renta por unidad de consumo;2022;19.950
Total Nacional;Castilla y León;Burgos;;Mediana de la renta por unidad de consumo;2021;19.250
Total Nacional;Castilla y León;Burgos;;Mediana de la renta por unidad de consumo;2020;17.850
Total Nacional;Castilla y León;Burgos;;Mediana de la renta por unidad de consumo;2019;18.550
Total Nacional;Castilla y León;Burgos;;Mediana de la renta por unidad de consumo;2018;17.850
Total Nacional;Castilla y León;Burgos;;Renta bruta media por persona;2022;18.242
Total Nacional;Castilla y León;Burgos;;Renta bruta media por persona;2021;17.304
Total Nacional;Castilla y León;Burgos;;Renta bruta media por persona;2020;16.469
Total Nacional;Castilla y León;Burgos;;Renta bruta media por persona;2019;16.393
Total Nacional;Castilla y León;Burgos;;Renta bruta media por persona;2018;15.887
Total Nacional;Castilla y León;Burgos;;Renta bruta media por hogar;2022;41.946
Total Nacional;Castilla y León;Burgos;;Renta bruta media por hogar;2021;40.018
Total Nacional;Castilla y León;Burgos;;Renta bruta media por hogar;2020;38.347
Total Nacional;Castilla y León;Burgos;;Renta bruta media por hogar;2019;38.382
Total Nacional;Castilla y León;Burgos;;Renta bruta media por hogar;2018;37.270
Total Nacional;Castilla y León;León;;Renta neta media por persona;2022;14.144
Total Nacional;Castilla y León;León;;Renta neta media por persona;2021;13.400
Total Nacional;Castilla y León;León;;Renta neta media por persona;2020;12.917
Total Nacional;Castilla y León;León;;Renta neta media por persona;2019;12.755
Total Nacional;Castilla y León;León;;Renta neta media por persona;2018;12.222
Total Nacional;Castilla y León;León;;Renta neta media por hogar;2022;31.392
Total Nacional;Castilla y León;León;;Renta neta media por hogar;2021;30.024
Total Nacional;Castilla y León;León;;Renta neta media por hogar;2020;29.196
Total Nacional;Castilla y León;León;;Renta neta media por hogar;2019;29.060
Total Nacional;Castilla y León;León;;Renta neta media por hogar;2018;28.009
Total Nacional;Castilla y León;León;;Media de la renta por unidad de consumo;2022;20.239
Total Nacional;Castilla y León;León;;Media de la renta por unidad de consumo;2021;19.222
Total Nacional;Castilla y León;León;;Media de la renta por unidad de consumo;2020;18.553
Total Nacional;Castilla y León;León;;Media de la renta por unidad de consumo;2019;18.361
Total Nacional;Castilla y León;León;;Media de la renta por unidad de consumo;2018;17.665
Total Nacional;Castilla y León;León;;Mediana de la renta por unidad de consumo;2022;18.550
Total Nacional;Castilla y León;León;;Mediana de la renta por unidad de consumo;2021;17.150
Total Nacional;Castilla y León;León;;Mediana de la renta por unidad de consumo;2020;16.450
Total Nacional;Castilla y León;León;;Mediana de la renta por unidad de consumo;2019;16.450
Total Nacional;Castilla y León;León;;Mediana de la renta por unidad de consumo;2018;15.750
Total Nacional;Castilla y León;León;;Renta bruta media por persona;2022;16.864
Total Nacional;Castilla y León;León;;Renta bruta media por persona;2021;15.855
Total Nacional;Castilla y León;León;;Renta bruta media por persona;2020;15.183
Total Nacional;Castilla y León;León;;Renta bruta media por persona;2019;14.956
Total Nacional;Castilla y León;León;;Renta bruta media por persona;2018;14.328
Total Nacional;Castilla y León;León;;Renta bruta media por hogar;2022;37.429
Total Nacional;Castilla y León;León;;Renta bruta media por hogar;2021;35.524
Total Nacional;Castilla y León;León;;Renta bruta media por hogar;2020;34.317
Total Nacional;Castilla y León;León;;Renta bruta media por hogar;2019;34.074
Total Nacional;Castilla y León;León;;Renta bruta media por hogar;2018;32.833
Total Nacional;Castilla y León;Palencia;;Renta neta media por persona;2022;14.251
Total Nacional;Castilla y León;Palencia;;Renta neta media por persona;2021;13.624
Total Nacional;Castilla y León;Palencia;;Renta neta media por persona;2020;13.153
Total Nacional;Castilla y León;Palencia;;Renta neta media por persona;2019;13.010
Total Nacional;Castilla y León;Palencia;;Renta neta media por persona;2018;12.525
Total Nacional;Castilla y León;Palencia;;Renta neta media por hogar;2022;32.105
Total Nacional;Castilla y León;Palencia;;Renta neta media por hogar;2021;31.008
Total Nacional;Castilla y León;Palencia;;Renta neta media por hogar;2020;30.176
Total Nacional;Castilla y León;Palencia;;Renta neta media por hogar;2019;30.010
Total Nacional;Castilla y León;Palencia;;Renta neta media por hogar;2018;28.971
Total Nacional;Castilla y León;Palencia;;Media de la renta por unidad de consumo;2022;20.448
Total Nacional;Castilla y León;Palencia;;Media de la renta por unidad de consumo;2021;19.594
Total Nacional;Castilla y León;Palencia;;Media de la renta por unidad de consumo;2020;18.960
Total Nacional;Castilla y León;Palencia;;Media de la renta por unidad de consumo;2019;18.809
Total Nacional;Castilla y León;Palencia;;Media de la renta por unidad de consumo;2018;18.150
Total Nacional;Castilla y León;Palencia;;Mediana de la renta por unidad de consumo;2022;18.550
Total Nacional;Castilla y León;Palencia;;Mediana de la renta por unidad de consumo;2021;17.850
Total Nacional;Castilla y León;Palencia;;Mediana de la renta por unidad de consumo;2020;17.150
Total Nacional;Castilla y León;Palencia;;Mediana de la renta por unidad de consumo;2019;17.150
Total Nacional;Castilla y León;Palencia;;Mediana de la renta por unidad de consumo;2018;16.450
Total Nacional;Castilla y León;Palencia;;Renta bruta media por persona;2022;17.013
Total Nacional;Castilla y León;Palencia;;Renta bruta media por persona;2021;16.165
Total Nacional;Castilla y León;Palencia;;Renta bruta media por persona;2020;15.497
Total Nacional;Castilla y León;Palencia;;Renta bruta media por persona;2019;15.316
Total Nacional;Castilla y León;Palencia;;Renta bruta media por persona;2018;14.730
Total Nacional;Castilla y León;Palencia;;Renta bruta media por hogar;2022;38.327
Total Nacional;Castilla y León;Palencia;;Renta bruta media por hogar;2021;36.792
Total Nacional;Castilla y León;Palencia;;Renta bruta media por hogar;2020;35.554
Total Nacional;Castilla y León;Palencia;;Renta bruta media por hogar;2019;35.329
Total Nacional;Castilla y León;Palencia;;Renta bruta media por hogar;2018;34.073
Total Nacional;Castilla y León;Salamanca;;Renta neta media por persona;2022;13.610
Total Nacional;Castilla y León;Salamanca;;Renta neta media por persona;2021;12.920
Total Nacional;Castilla y León;Salamanca;;Renta neta media por persona;2020;12.355
Total Nacional;Castilla y León;Salamanca;;Renta neta media por persona;2019;12.240
Total Nacional;Castilla y León;Salamanca;;Renta neta media por persona;2018;11.762
Total Nacional;Castilla y León;Salamanca;;Renta neta media por hogar;2022;30.435
Total Nacional;Castilla y León;Salamanca;;Renta neta media por hogar;2021;29.176
Total Nacional;Castilla y León;Salamanca;;Renta neta media por hogar;2020;28.130
Total Nacional;Castilla y León;Salamanca;;Renta neta media por hogar;2019;28.050
Total Nacional;Castilla y León;Salamanca;;Renta neta media por hogar;2018;26.989
Total Nacional;Castilla y León;Salamanca;;Media de la renta por unidad de consumo;2022;19.530
Total Nacional;Castilla y León;Salamanca;;Media de la renta por unidad de consumo;2021;18.581
Total Nacional;Castilla y León;Salamanca;;Media de la renta por unidad de consumo;2020;17.808
Total Nacional;Castilla y León;Salamanca;;Media de la renta por unidad de consumo;2019;17.694
Total Nacional;Castilla y León;Salamanca;;Media de la renta por unidad de consumo;2018;17.019
Total Nacional;Castilla y León;Salamanca;;Mediana de la renta por unidad de consumo;2022;17.150
Total Nacional;Castilla y León;Salamanca;;Mediana de la renta por unidad de consumo;2021;16.450
Total Nacional;Castilla y León;Salamanca;;Mediana de la renta por unidad de consumo;2020;15.750
Total Nacional;Castilla y León;Salamanca;;Mediana de la renta por unidad de consumo;2019;15.050
Total Nacional;Castilla y León;Salamanca;;Mediana de la renta por unidad de consumo;2018;15.050
Total Nacional;Castilla y León;Salamanca;;Renta bruta media por persona;2022;16.274
Total Nacional;Castilla y León;Salamanca;;Renta bruta media por persona;2021;15.314
Total Nacional;Castilla y León;Salamanca;;Renta bruta media por persona;2020;14.550
Total Nacional;Castilla y León;Salamanca;;Renta bruta media por persona;2019;14.406
Total Nacional;Castilla y León;Salamanca;;Renta bruta media por persona;2018;13.802
Total Nacional;Castilla y León;Salamanca;;Renta bruta media por hogar;2022;36.392
Total Nacional;Castilla y León;Salamanca;;Renta bruta media por hogar;2021;34.581
Total Nacional;Castilla y León;Salamanca;;Renta bruta media por hogar;2020;33.127
Total Nacional;Castilla y León;Salamanca;;Renta bruta media por hogar;2019;33.016
Total Nacional;Castilla y León;Salamanca;;Renta bruta media por hogar;2018;31.671
Total Nacional;Castilla y León;Segovia;;Renta neta media por persona;2022;13.956
Total Nacional;Castilla y León;Segovia;;Renta neta media por persona;2021;13.324
Total Nacional;Castilla y León;Segovia;;Renta neta media por persona;2020;12.722
Total Nacional;Castilla y León;Segovia;;Renta neta media por persona;2019;12.482
Total Nacional;Castilla y León;Segovia;;Renta neta media por persona;2018;11.922
Total Nacional;Castilla y León;Segovia;;Renta neta media por hogar;2022;33.362
Total Nacional;Castilla y León;Segovia;;Renta neta media por hogar;2021;32.028
Total Nacional;Castilla y León;Segovia;;Renta neta media por hogar;2020;30.787
Total Nacional;Castilla y León;Segovia;;Renta neta media por hogar;2019;30.477
Total Nacional;Castilla y León;Segovia;;Renta neta media por hogar;2018;29.158
Total Nacional;Castilla y León;Segovia;;Media de la renta por unidad de consumo;2022;20.379
Total Nacional;Castilla y León;Segovia;;Media de la renta por unidad de consumo;2021;19.497
Total Nacional;Castilla y León;Segovia;;Media de la renta por unidad de consumo;2020;18.630
Total Nacional;Castilla y León;Segovia;;Media de la renta por unidad de consumo;2019;18.333
Total Nacional;Castilla y León;Segovia;;Media de la renta por unidad de consumo;2018;17.554
Total Nacional;Castilla y León;Segovia;;Mediana de la renta por unidad de consumo;2022;17.850
Total Nacional;Castilla y León;Segovia;;Mediana de la renta por unidad de consumo;2021;17.150
Total Nacional;Castilla y León;Segovia;;Mediana de la renta por unidad de consumo;2020;16.450
Total Nacional;Castilla y León;Segovia;;Mediana de la renta por unidad de consumo;2019;16.450
Total Nacional;Castilla y León;Segovia;;Mediana de la renta por unidad de consumo;2018;15.750
Total Nacional;Castilla y León;Segovia;;Renta bruta media por persona;2022;16.780
Total Nacional;Castilla y León;Segovia;;Renta bruta media por persona;2021;15.907
Total Nacional;Castilla y León;Segovia;;Renta bruta media por persona;2020;15.066
Total Nacional;Castilla y León;Segovia;;Renta bruta media por persona;2019;14.715
Total Nacional;Castilla y León;Segovia;;Renta bruta media por persona;2018;14.028
Total Nacional;Castilla y León;Segovia;;Renta bruta media por hogar;2022;40.113
Total Nacional;Castilla y León;Segovia;;Renta bruta media por hogar;2021;38.238
Total Nacional;Castilla y León;Segovia;;Renta bruta media por hogar;2020;36.458
Total Nacional;Castilla y León;Segovia;;Renta bruta media por hogar;2019;35.929
Total Nacional;Castilla y León;Segovia;;Renta bruta media por hogar;2018;34.308
Total Nacional;Castilla y León;Soria;;Renta neta media por persona;2022;14.721
Total Nacional;Castilla y León;Soria;;Renta neta media por persona;2021;14.385
Total Nacional;Castilla y León;Soria;;Renta neta media por persona;2020;13.889
Total Nacional;Castilla y León;Soria;;Renta neta media por persona;2019;13.353
Total Nacional;Castilla y León;Soria;;Renta neta media por persona;2018;12.907
Total Nacional;Castilla y León;Soria;;Renta neta media por hogar;2022;33.830
Total Nacional;Castilla y León;Soria;;Renta neta media por hogar;2021;33.138
Total Nacional;Castilla y León;Soria;;Renta neta media por hogar;2020;32.372
Total Nacional;Castilla y León;Soria;;Renta neta media por hogar;2019;31.235
Total Nacional;Castilla y León;Soria;;Renta neta media por hogar;2018;30.202
Total Nacional;Castilla y León;Soria;;Media de la renta por unidad de consumo;2022;21.274
Total Nacional;Castilla y León;Soria;;Media de la renta por unidad de consumo;2021;20.793
Total Nacional;Castilla y León;Soria;;Media de la renta por unidad de consumo;2020;20.128
Total Nacional;Castilla y León;Soria;;Media de la renta por unidad de consumo;2019;19.388
Total Nacional;Castilla y León;Soria;;Media de la renta por unidad de consumo;2018;18.770
Total Nacional;Castilla y León;Soria;;Mediana de la renta por unidad de consumo;2022;19.250
Total Nacional;Castilla y León;Soria;;Mediana de la renta por unidad de consumo;2021;18.550
Total Nacional;Castilla y León;Soria;;Mediana de la renta por unidad de consumo;2020;17.850
Total Nacional;Castilla y León;Soria;;Mediana de la renta por unidad de consumo;2019;17.850
Total Nacional;Castilla y León;Soria;;Mediana de la renta por unidad de consumo;2018;17.150
Total Nacional;Castilla y León;Soria;;Renta bruta media por persona;2022;17.774
Total Nacional;Castilla y León;Soria;;Renta bruta media por persona;2021;17.229
Total Nacional;Castilla y León;Soria;;Renta bruta media por persona;2020;16.517
Total Nacional;Castilla y León;Soria;;Renta bruta media por persona;2019;15.800
Total Nacional;Castilla y León;Soria;;Renta bruta media por persona;2018;15.250
Total Nacional;Castilla y León;Soria;;Renta bruta media por hogar;2022;40.846
Total Nacional;Castilla y León;Soria;;Renta bruta media por hogar;2021;39.692
Total Nacional;Castilla y León;Soria;;Renta bruta media por hogar;2020;38.496
Total Nacional;Castilla y León;Soria;;Renta bruta media por hogar;2019;36.961
Total Nacional;Castilla y León;Soria;;Renta bruta media por hogar;2018;35.686
Total Nacional;Castilla y León;Valladolid;;Renta neta media por persona;2022;14.658
Total Nacional;Castilla y León;Valladolid;;Renta neta media por persona;2021;13.987
Total Nacional;Castilla y León;Valladolid;;Renta neta media por persona;2020;13.490
Total Nacional;Castilla y León;Valladolid;;Renta neta media por persona;2019;13.344
Total Nacional;Castilla y León;Valladolid;;Renta neta media por persona;2018;12.905
Total Nacional;Castilla y León;Valladolid;;Renta neta media por hogar;2022;34.708
Total Nacional;Castilla y León;Valladolid;;Renta neta media por hogar;2021;33.348
Total Nacional;Castilla y León;Valladolid;;Renta neta media por hogar;2020;32.397
