Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Indicadores de renta media;Periodo;Total
Total Nacional;Andalucía;Córdoba;;Renta bruta media por persona;2022;13.652
Total Nacional;Andalucía;Córdoba;;Renta bruta media por persona;2021;12.895
Total Nacional;Andalucía;Córdoba;;Renta bruta media por persona;2020;12.019
Total Nacional;Andalucía;Córdoba;;Renta bruta media por persona;2019;11.874
Total Nacional;Andalucía;Córdoba;;Renta bruta media por persona;2018;11.317
Total Nacional;Andalucía;Córdoba;;Renta bruta media por hogar;2022;34.316
Total Nacional;Andalucía;Córdoba;;Renta bruta media por hogar;2021;32.782
Total Nacional;Andalucía;Córdoba;;Renta bruta media por hogar;2020;30.839
Total Nacional;Andalucía;Córdoba;;Renta bruta media por hogar;2019;30.671
Total Nacional;Andalucía;Córdoba;;Renta bruta media por hogar;2018;29.424
Total Nacional;Andalucía;Granada;;Renta neta media por persona;2022;11.754
Total Nacional;Andalucía;Granada;;Renta neta media por persona;2021;11.100
Total Nacional;Andalucía;Granada;;Renta neta media por persona;2020;10.463
Total Nacional;Andalucía;Granada;;Renta neta media por persona;2019;10.380
Total Nacional;Andalucía;Granada;;Renta neta media por persona;2018;9.885
Total Nacional;Andalucía;Granada;;Renta neta media por hogar;2022;29.113
Total Nacional;Andalucía;Granada;;Renta neta media por hogar;2021;27.748
Total Nacional;Andalucía;Granada;;Renta neta media por hogar;2020;26.373
Total Nacional;Andalucía;Granada;;Renta neta media por hogar;2019;26.342
Total Nacional;Andalucía;Granada;;Renta neta media por hogar;2018;25.190
Total Nacional;Andalucía;Granada;;Media de la renta por unidad de consumo;2022;17.473
Total Nacional;Andalucía;Granada;;Media de la renta por unidad de consumo;2021;16.547
Total Nacional;Andalucía;Granada;;Media de la renta por unidad de consumo;2020;15.608
Total Nacional;Andalucía;Granada;;Media de la renta por unidad de consumo;2019;15.537
Total Nacional;Andalucía;Granada;;Media de la renta por unidad de consumo;2018;14.828
Total Nacional;Andalucía;Granada;;Mediana de la renta por unidad de consumo;2022;15.050
Total Nacional;Andalucía;Granada;;Mediana de la renta por unidad de consumo;2021;14.350
Total Nacional;Andalucía;Granada;;Mediana de la renta por unidad de consumo;2020;12.950
Total Nacional;Andalucía;Granada;;Mediana de la renta por unidad de consumo;2019;12.950
Total Nacional;Andalucía;Granada;;Mediana de la renta por unidad de consumo;2018;12.250
Total Nacional;Andalucía;Granada;;Renta bruta media por persona;2022;13.943
Total Nacional;Andalucía;Granada;;Renta bruta media por persona;2021;13.124
Total Nacional;Andalucía;Granada;;Renta bruta media por persona;2020;12.274
Total Nacional;Andalucía;Granada;;Renta bruta media por persona;2019;12.168
Total Nacional;Andalucía;Granada;;Renta bruta media por persona;2018;11.555
Total Nacional;Andalucía;Granada;;Renta bruta media por hogar;2022;34.534
Total Nacional;Andalucía;Granada;;Renta bruta media por hogar;2021;32.809
Total Nacional;Andalucía;Granada;;Renta bruta media por hogar;2020;30.938
Total Nacional;Andalucía;Granada;;Renta bruta media por hogar;2019;30.878
Total Nacional;Andalucía;Granada;;Renta bruta media por hogar;2018;29.444
Total Nacional;Andalucía;Huelva;;Renta neta media por persona;2022;11.199
Total Nacional;Andalucía;Huelva;;Renta neta media por persona;2021;10.609
Total Nacional;Andalucía;Huelva;;Renta neta media por persona;2020;10.112
Total Nacional;Andalucía;Huelva;;Renta neta media por persona;2019;9.958
Total Nacional;Andalucía;Huelva;;Renta neta media por persona;2018;9.416
Total Nacional;Andalucía;Huelva;;Renta neta media por hogar;2022;29.133
Total Nacional;Andalucía;Huelva;;Renta neta media por hogar;2021;27.770
Total Nacional;Andalucía;Huelva;;Renta neta media por hogar;2020;26.542
Total Nacional;Andalucía;Huelva;;Renta neta media por hogar;2019;26.398
Total Nacional;Andalucía;Huelva;;Renta neta media por hogar;2018;25.082
Total Nacional;Andalucía;Huelva;;Media de la renta por unidad de consumo;2022;16.835
Total Nacional;Andalucía;Huelva;;Media de la renta por unidad de consumo;2021;15.993
Total Nacional;Andalucía;Huelva;;Media de la renta por unidad de consumo;2020;15.239
Total Nacional;Andalucía;Huelva;;Media de la renta por unidad de consumo;2019;15.083
Total Nacional;Andalucía;Huelva;;Media de la renta por unidad de consumo;2018;14.288
Total Nacional;Andalucía;Huelva;;Mediana de la renta por unidad de consumo;2022;15.050
Total Nacional;Andalucía;Huelva;;Mediana de la renta por unidad de consumo;2021;14.350
Total Nacional;Andalucía;Huelva;;Mediana de la renta por unidad de consumo;2020;12.950
Total Nacional;Andalucía;Huelva;;Mediana de la renta por unidad de consumo;2019;12.950
Total Nacional;Andalucía;Huelva;;Mediana de la renta por unidad de consumo;2018;12.250
Total Nacional;Andalucía;Huelva;;Renta bruta media por persona;2022;13.152
Total Nacional;Andalucía;Huelva;;Renta bruta media por persona;2021;12.418
Total Nacional;Andalucía;Huelva;;Renta bruta media por persona;2020;11.767
Total Nacional;Andalucía;Huelva;;Renta bruta media por persona;2019;11.560
Total Nacional;Andalucía;Huelva;;Renta bruta media por persona;2018;10.927
Total Nacional;Andalucía;Huelva;;Renta bruta media por hogar;2022;34.212
Total Nacional;Andalucía;Huelva;;Renta bruta media por hogar;2021;32.506
Total Nacional;Andalucía;Huelva;;Renta bruta media por hogar;2020;30.887
Total Nacional;Andalucía;Huelva;;Renta bruta media por hogar;2019;30.647
Total Nacional;Andalucía;Huelva;;Renta bruta media por hogar;2018;29.108
Total Nacional;Andalucía;Jaén;;Renta neta media por persona;2022;11.074
Total Nacional;Andalucía;Jaén;;Renta neta media por persona;2021;10.689
Total Nacional;Andalucía;Jaén;;Renta neta media por persona;2020;9.958
Total Nacional;Andalucía;Jaén;;Renta neta media por persona;2019;9.758
Total Nacional;Andalucía;Jaén;;Renta neta media por persona;2018;9.417
Total Nacional;Andalucía;Jaén;;Renta neta media por hogar;2022;27.429
Total Nacional;Andalucía;Jaén;;Renta neta media por hogar;2021;26.808
Total Nacional;Andalucía;Jaén;;Renta neta media por hogar;2020;25.141
Total Nacional;Andalucía;Jaén;;Renta neta media por hogar;2019;24.865
Total Nacional;Andalucía;Jaén;;Renta neta media por hogar;2018;24.160
Total Nacional;Andalucía;Jaén;;Media de la renta por unidad de consumo;2022;16.414
Total Nacional;Andalucía;Jaén;;Media de la renta por unidad de consumo;2021;15.902
Total Nacional;Andalucía;Jaén;;Media de la renta por unidad de consumo;2020;14.825
Total Nacional;Andalucía;Jaén;;Media de la renta por unidad de consumo;2019;14.656
Total Nacional;Andalucía;Jaén;;Media de la renta por unidad de consumo;2018;14.114
Total Nacional;Andalucía;Jaén;;Mediana de la renta por unidad de consumo;2022;14.350
Total Nacional;Andalucía;Jaén;;Mediana de la renta por unidad de consumo;2021;13.650
Total Nacional;Andalucía;Jaén;;Mediana de la renta por unidad de consumo;2020;12.950
Total Nacional;Andalucía;Jaén;;Mediana de la renta por unidad de consumo;2019;12.950
Total Nacional;Andalucía;Jaén;;Mediana de la renta por unidad de consumo;2018;12.250
Total Nacional;Andalucía;Jaén;;Renta bruta media por persona;2022;12.870
Total Nacional;Andalucía;Jaén;;Renta bruta media por persona;2021;12.408
Total Nacional;Andalucía;Jaén;;Renta bruta media por persona;2020;11.468
Total Nacional;Andalucía;Jaén;;Renta bruta media por persona;2019;11.280
Total Nacional;Andalucía;Jaén;;Renta bruta media por persona;2018;10.830
Total Nacional;Andalucía;Jaén;;Renta bruta media por hogar;2022;31.877
Total Nacional;Andalucía;Jaén;;Renta bruta media por hogar;2021;31.120
Total Nacional;Andalucía;Jaén;;Renta bruta media por hogar;2020;28.953
Total Nacional;Andalucía;Jaén;;Renta bruta media por hogar;2019;28.743
Total Nacional;Andalucía;Jaén;;Renta bruta media por hogar;2018;27.785
Total Nacional;Andalucía;Málaga;;Renta neta media por persona;2022;11.744
Total Nacional;Andalucía;Málaga;;Renta neta media por persona;2021;10.929
Total Nacional;Andalucía;Málaga;;Renta neta media por persona;2020;10.261
Total Nacional;Andalucía;Málaga;;Renta neta media por persona;2019;10.338
Total Nacional;Andalucía;Málaga;;Renta neta media por persona;2018;9.832
Total Nacional;Andalucía;Málaga;;Renta neta media por hogar;2022;30.644
Total Nacional;Andalucía;Málaga;;Renta neta media por hogar;2021;28.574
Total Nacional;Andalucía;Málaga;;Renta neta media por hogar;2020;27.084
Total Nacional;Andalucía;Málaga;;Renta neta media por hogar;2019;27.439
Total Nacional;Andalucía;Málaga;;Renta neta media por hogar;2018;26.076
Total Nacional;Andalucía;Málaga;;Media de la renta por unidad de consumo;2022;18.050
Total Nacional;Andalucía;Málaga;;Media de la renta por unidad de consumo;2021;16.787
Total Nacional;Andalucía;Málaga;;Media de la renta por unidad de consumo;2020;15.786
Total Nacional;Andalucía;Málaga;;Media de la renta por unidad de consumo;2019;15.938
Total Nacional;Andalucía;Málaga;;Media de la renta por unidad de consumo;2018;15.161
Total Nacional;Andalucía;Málaga;;Mediana de la renta por unidad de consumo;2022;15.750
Total Nacional;Andalucía;Málaga;;Mediana de la renta por unidad de consumo;2021;14.350
Total Nacional;Andalucía;Málaga;;Mediana de la renta por unidad de consumo;2020;13.650
Total Nacional;Andalucía;Málaga;;Mediana de la renta por unidad de consumo;2019;13.650
Total Nacional;Andalucía;Málaga;;Mediana de la renta por unidad de consumo;2018;12.950
Total Nacional;Andalucía;Málaga;;Renta bruta media por persona;2022;14.129
Total Nacional;Andalucía;Málaga;;Renta bruta media por persona;2021;13.053
Total Nacional;Andalucía;Málaga;;Renta bruta media por persona;2020;12.136
Total Nacional;Andalucía;Málaga;;Renta bruta media por persona;2019;12.226
Total Nacional;Andalucía;Málaga;;Renta bruta media por persona;2018;11.591
Total Nacional;Andalucía;Málaga;;Renta bruta media por hogar;2022;36.867
Total Nacional;Andalucía;Málaga;;Renta bruta media por hogar;2021;34.126
Total Nacional;Andalucía;Málaga;;Renta bruta media por hogar;2020;32.034
