Causas (lista reducida);Sexo;Provincia de residencia;Total
001-102 I-XXII.Todas las causas;Hombres;Total;216.442
001-102 I-XXII.Todas las causas;Hombres;02 Albacete;1.905
001-102 I-XXII.Todas las causas;Hombres;03 Alicante/Alacant;8.500
001-102 I-XXII.Todas las causas;Hombres;04 Almería;3.021
001-102 I-XXII.Todas las causas;Hombres;01 Araba/Álava;1.449
001-102 I-XXII.Todas las causas;Hombres;33 Asturias;6.421
001-102 I-XXII.Todas las causas;Hombres;05 Ávila;1.026
001-102 I-XXII.Todas las causas;Hombres;06 Badajoz;3.510
001-102 I-XXII.Todas las causas;Hombres;07 Balears, Illes;4.236
001-102 I-XXII.Todas las causas;Hombres;08 Barcelona;23.958
001-102 I-XXII.Todas las causas;Hombres;48 Bizkaia;5.930
001-102 I-XXII.Todas las causas;Hombres;09 Burgos;2.003
001-102 I-XXII.Todas las causas;Hombres;10 Cáceres;2.331
001-102 I-XXII.Todas las causas;Hombres;11 Cádiz;5.461
001-102 I-XXII.Todas las causas;Hombres;39 Cantabria;3.095
001-102 I-XXII.Todas las causas;Hombres;12 Castellón/Castelló;2.874
001-102 I-XXII.Todas las causas;Hombres;13 Ciudad Real;2.577
001-102 I-XXII.Todas las causas;Hombres;14 Córdoba;3.877
001-102 I-XXII.Todas las causas;Hombres;15 Coruña, A;6.558
001-102 I-XXII.Todas las causas;Hombres;16 Cuenca;1.236
001-102 I-XXII.Todas las causas;Hombres;20 Gipuzkoa;3.506
001-102 I-XXII.Todas las causas;Hombres;17 Girona;3.323
001-102 I-XXII.Todas las causas;Hombres;18 Granada;4.263
001-102 I-XXII.Todas las causas;Hombres;19 Guadalajara;1.020
001-102 I-XXII.Todas las causas;Hombres;21 Huelva;2.329
001-102 I-XXII.Todas las causas;Hombres;22 Huesca;1.333
001-102 I-XXII.Todas las causas;Hombres;23 Jaén;3.458
001-102 I-XXII.Todas las causas;Hombres;24 León;3.165
001-102 I-XXII.Todas las causas;Hombres;25 Lleida;2.266
001-102 I-XXII.Todas las causas;Hombres;27 Lugo;2.563
001-102 I-XXII.Todas las causas;Hombres;28 Madrid;22.795
001-102 I-XXII.Todas las causas;Hombres;29 Málaga;6.958
001-102 I-XXII.Todas las causas;Hombres;30 Murcia;5.860
001-102 I-XXII.Todas las causas;Hombres;31 Navarra;2.952
001-102 I-XXII.Todas las causas;Hombres;32 Ourense;2.399
001-102 I-XXII.Todas las causas;Hombres;34 Palencia;1.053
001-102 I-XXII.Todas las causas;Hombres;35 Palmas, Las;4.377
001-102 I-XXII.Todas las causas;Hombres;36 Pontevedra;4.675
001-102 I-XXII.Todas las causas;Hombres;26 Rioja, La;1.667
001-102 I-XXII.Todas las causas;Hombres;37 Salamanca;1.952
001-102 I-XXII.Todas las causas;Hombres;38 Santa Cruz de Tenerife;4.330
001-102 I-XXII.Todas las causas;Hombres;40 Segovia;886
001-102 I-XXII.Todas las causas;Hombres;41 Sevilla;7.993
001-102 I-XXII.Todas las causas;Hombres;42 Soria;580
001-102 I-XXII.Todas las causas;Hombres;43 Tarragona;3.805
001-102 I-XXII.Todas las causas;Hombres;44 Teruel;926
001-102 I-XXII.Todas las causas;Hombres;45 Toledo;3.225
001-102 I-XXII.Todas las causas;Hombres;46 Valencia/València;11.701
001-102 I-XXII.Todas las causas;Hombres;47 Valladolid;2.514
