Nacional;Comunidades y Ciudades Autónomas;Causa de muerte (capítulos de la 10ª revisión de la CIE);Tipo de indicador;Sexo;Total
Total Nacional;01 Andalucía;Enfermedades del sistema circulatorio;Distribución por capítulos de la CIE;Hombres;22,02
Total Nacional;01 Andalucía;Enfermedades del sistema circulatorio;Distribución por capítulos de la CIE;Mujeres;16,37
Total Nacional;01 Andalucía;Enfermedades del sistema circulatorio;Tasa estandarizada de APVP (tanto por cien mil);Hombres;1.471,74
Total Nacional;01 Andalucía;Enfermedades del sistema circulatorio;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;535,43
Total Nacional;01 Andalucía;Enfermedades del sistema circulatorio;Nº medio de APVP;Hombres;13,04
Total Nacional;01 Andalucía;Enfermedades del sistema circulatorio;Nº medio de APVP;Mujeres;10,82
Total Nacional;01 Andalucía;Enfermedades del sistema respiratorio;Nº de APVP;Hombres;19.834,50
Total Nacional;01 Andalucía;Enfermedades del sistema respiratorio;Nº de APVP;Mujeres;8.507,50
Total Nacional;01 Andalucía;Enfermedades del sistema respiratorio;Distribución por capítulos de la CIE;Hombres;7,10
Total Nacional;01 Andalucía;Enfermedades del sistema respiratorio;Distribución por capítulos de la CIE;Mujeres;5,95
Total Nacional;01 Andalucía;Enfermedades del sistema respiratorio;Tasa estandarizada de APVP (tanto por cien mil);Hombres;489,87
Total Nacional;01 Andalucía;Enfermedades del sistema respiratorio;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;195,51
Total Nacional;01 Andalucía;Enfermedades del sistema respiratorio;Nº medio de APVP;Hombres;11,18
Total Nacional;01 Andalucía;Enfermedades del sistema respiratorio;Nº medio de APVP;Mujeres;10,67
Total Nacional;01 Andalucía;Enfermedades del sistema digestivo;Nº de APVP;Hombres;18.937,50
Total Nacional;01 Andalucía;Enfermedades del sistema digestivo;Nº de APVP;Mujeres;7.979,50
Total Nacional;01 Andalucía;Enfermedades del sistema digestivo;Distribución por capítulos de la CIE;Hombres;6,78
Total Nacional;01 Andalucía;Enfermedades del sistema digestivo;Distribución por capítulos de la CIE;Mujeres;5,58
Total Nacional;01 Andalucía;Enfermedades del sistema digestivo;Tasa estandarizada de APVP (tanto por cien mil);Hombres;444,79
Total Nacional;01 Andalucía;Enfermedades del sistema digestivo;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;182,37
Total Nacional;01 Andalucía;Enfermedades del sistema digestivo;Nº medio de APVP;Hombres;14,31
Total Nacional;01 Andalucía;Enfermedades del sistema digestivo;Nº medio de APVP;Mujeres;12,43
Total Nacional;01 Andalucía;Enfermedades de la piel y del tejido subcutáneo;Nº de APVP;Hombres;157,50
Total Nacional;01 Andalucía;Enfermedades de la piel y del tejido subcutáneo;Nº de APVP;Mujeres;137,50
Total Nacional;01 Andalucía;Enfermedades de la piel y del tejido subcutáneo;Distribución por capítulos de la CIE;Hombres;0,06
Total Nacional;01 Andalucía;Enfermedades de la piel y del tejido subcutáneo;Distribución por capítulos de la CIE;Mujeres;0,10
Total Nacional;01 Andalucía;Enfermedades de la piel y del tejido subcutáneo;Tasa estandarizada de APVP (tanto por cien mil);Hombres;4,09
Total Nacional;01 Andalucía;Enfermedades de la piel y del tejido subcutáneo;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;3,23
Total Nacional;01 Andalucía;Enfermedades de la piel y del tejido subcutáneo;Nº medio de APVP;Hombres;7,50
Total Nacional;01 Andalucía;Enfermedades de la piel y del tejido subcutáneo;Nº medio de APVP;Mujeres;9,17
Total Nacional;01 Andalucía;Enfermedades del sistema osteomuscular y del tejido conjuntivo;Nº de APVP;Hombres;577,50
Total Nacional;01 Andalucía;Enfermedades del sistema osteomuscular y del tejido conjuntivo;Nº de APVP;Mujeres;712,50
Total Nacional;01 Andalucía;Enfermedades del sistema osteomuscular y del tejido conjuntivo;Distribución por capítulos de la CIE;Hombres;0,21
Total Nacional;01 Andalucía;Enfermedades del sistema osteomuscular y del tejido conjuntivo;Distribución por capítulos de la CIE;Mujeres;0,50
Total Nacional;01 Andalucía;Enfermedades del sistema osteomuscular y del tejido conjuntivo;Tasa estandarizada de APVP (tanto por cien mil);Hombres;14,18
Total Nacional;01 Andalucía;Enfermedades del sistema osteomuscular y del tejido conjuntivo;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;16,39
Total Nacional;01 Andalucía;Enfermedades del sistema osteomuscular y del tejido conjuntivo;Nº medio de APVP;Hombres;9,79
Total Nacional;01 Andalucía;Enfermedades del sistema osteomuscular y del tejido conjuntivo;Nº medio de APVP;Mujeres;8,38
Total Nacional;01 Andalucía;Enfermedades del sistema genitourinario;Nº de APVP;Hombres;3.167,50
Total Nacional;01 Andalucía;Enfermedades del sistema genitourinario;Nº de APVP;Mujeres;2.037,50
Total Nacional;01 Andalucía;Enfermedades del sistema genitourinario;Distribución por capítulos de la CIE;Hombres;1,13
Total Nacional;01 Andalucía;Enfermedades del sistema genitourinario;Distribución por capítulos de la CIE;Mujeres;1,42
Total Nacional;01 Andalucía;Enfermedades del sistema genitourinario;Tasa estandarizada de APVP (tanto por cien mil);Hombres;80,96
Total Nacional;01 Andalucía;Enfermedades del sistema genitourinario;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;47,90
Total Nacional;01 Andalucía;Enfermedades del sistema genitourinario;Nº medio de APVP;Hombres;8,40
Total Nacional;01 Andalucía;Enfermedades del sistema genitourinario;Nº medio de APVP;Mujeres;7,25
Total Nacional;01 Andalucía;Embarazo, parto y puerperio;Nº de APVP;Hombres;..
Total Nacional;01 Andalucía;Embarazo, parto y puerperio;Nº de APVP;Mujeres;180,00
Total Nacional;01 Andalucía;Embarazo, parto y puerperio;Distribución por capítulos de la CIE;Hombres;..
Total Nacional;01 Andalucía;Embarazo, parto y puerperio;Distribución por capítulos de la CIE;Mujeres;0,13
Total Nacional;01 Andalucía;Embarazo, parto y puerperio;Tasa estandarizada de APVP (tanto por cien mil);Hombres;..
Total Nacional;01 Andalucía;Embarazo, parto y puerperio;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;4,76
Total Nacional;01 Andalucía;Embarazo, parto y puerperio;Nº medio de APVP;Hombres;..
Total Nacional;01 Andalucía;Embarazo, parto y puerperio;Nº medio de APVP;Mujeres;45,00
Total Nacional;01 Andalucía;Afecciones originadas en el periodo perinatal;Nº de APVP;Hombres;75,00
Total Nacional;01 Andalucía;Afecciones originadas en el periodo perinatal;Nº de APVP;Mujeres;270,00
Total Nacional;01 Andalucía;Afecciones originadas en el periodo perinatal;Distribución por capítulos de la CIE;Hombres;0,03
Total Nacional;01 Andalucía;Afecciones originadas en el periodo perinatal;Distribución por capítulos de la CIE;Mujeres;0,19
Total Nacional;01 Andalucía;Afecciones originadas en el periodo perinatal;Tasa estandarizada de APVP (tanto por cien mil);Hombres;1,87
Total Nacional;01 Andalucía;Afecciones originadas en el periodo perinatal;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;6,94
Total Nacional;01 Andalucía;Afecciones originadas en el periodo perinatal;Nº medio de APVP;Hombres;37,50
Total Nacional;01 Andalucía;Afecciones originadas en el periodo perinatal;Nº medio de APVP;Mujeres;45,00
Total Nacional;01 Andalucía;Malformaciones congénitas, deformidades y anomalías cromosómicas;Nº de APVP;Hombres;1.403,50
Total Nacional;01 Andalucía;Malformaciones congénitas, deformidades y anomalías cromosómicas;Nº de APVP;Mujeres;1.962,00
Total Nacional;01 Andalucía;Malformaciones congénitas, deformidades y anomalías cromosómicas;Distribución por capítulos de la CIE;Hombres;0,50
Total Nacional;01 Andalucía;Malformaciones congénitas, deformidades y anomalías cromosómicas;Distribución por capítulos de la CIE;Mujeres;1,37
Total Nacional;01 Andalucía;Malformaciones congénitas, deformidades y anomalías cromosómicas;Tasa estandarizada de APVP (tanto por cien mil);Hombres;35,00
Total Nacional;01 Andalucía;Malformaciones congénitas, deformidades y anomalías cromosómicas;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;51,26
Total Nacional;01 Andalucía;Malformaciones congénitas, deformidades y anomalías cromosómicas;Nº medio de APVP;Hombres;31,90
Total Nacional;01 Andalucía;Malformaciones congénitas, deformidades y anomalías cromosómicas;Nº medio de APVP;Mujeres;36,33
Total Nacional;01 Andalucía;Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;Nº de APVP;Hombres;3.977,00
Total Nacional;01 Andalucía;Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;Nº de APVP;Mujeres;1.747,50
Total Nacional;01 Andalucía;Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;Distribución por capítulos de la CIE;Hombres;1,42
Total Nacional;01 Andalucía;Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;Distribución por capítulos de la CIE;Mujeres;1,22
Total Nacional;01 Andalucía;Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;Tasa estandarizada de APVP (tanto por cien mil);Hombres;95,49
Total Nacional;01 Andalucía;Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;39,98
Total Nacional;01 Andalucía;Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;Nº medio de APVP;Hombres;14,25
Total Nacional;01 Andalucía;Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;Nº medio de APVP;Mujeres;11,57
Total Nacional;01 Andalucía;Causas externas de mortalidad;Nº de APVP;Hombres;45.560,00
Total Nacional;01 Andalucía;Causas externas de mortalidad;Nº de APVP;Mujeres;11.665,50
Total Nacional;01 Andalucía;Causas externas de mortalidad;Distribución por capítulos de la CIE;Hombres;16,30
Total Nacional;01 Andalucía;Causas externas de mortalidad;Distribución por capítulos de la CIE;Mujeres;8,15
Total Nacional;01 Andalucía;Causas externas de mortalidad;Tasa estandarizada de APVP (tanto por cien mil);Hombres;1.098,30
Total Nacional;01 Andalucía;Causas externas de mortalidad;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;274,93
Total Nacional;01 Andalucía;Causas externas de mortalidad;Nº medio de APVP;Hombres;27,75
Total Nacional;01 Andalucía;Causas externas de mortalidad;Nº medio de APVP;Mujeres;23,01
Total Nacional;02 Aragón;Enfermedades infecciosas y parasitarias;Nº de APVP;Hombres;652,50
