Nacional;Comunidades y Ciudades Autónomas;Causa de muerte (capítulos de la 10ª revisión de la CIE);Tipo de indicador;Sexo;Total
Total Nacional;04 Balears, Illes;Enfermedades del sistema digestivo;Nº medio de APVP;Mujeres;10,64
Total Nacional;04 Balears, Illes;Enfermedades de la piel y del tejido subcutáneo;Nº de APVP;Hombres;35,00
Total Nacional;04 Balears, Illes;Enfermedades de la piel y del tejido subcutáneo;Nº de APVP;Mujeres;117,50
Total Nacional;04 Balears, Illes;Enfermedades de la piel y del tejido subcutáneo;Distribución por capítulos de la CIE;Hombres;0,10
Total Nacional;04 Balears, Illes;Enfermedades de la piel y del tejido subcutáneo;Distribución por capítulos de la CIE;Mujeres;0,67
Total Nacional;04 Balears, Illes;Enfermedades de la piel y del tejido subcutáneo;Tasa estandarizada de APVP (tanto por cien mil);Hombres;7,00
Total Nacional;04 Balears, Illes;Enfermedades de la piel y del tejido subcutáneo;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;18,72
Total Nacional;04 Balears, Illes;Enfermedades de la piel y del tejido subcutáneo;Nº medio de APVP;Hombres;8,75
Total Nacional;04 Balears, Illes;Enfermedades de la piel y del tejido subcutáneo;Nº medio de APVP;Mujeres;16,79
Total Nacional;04 Balears, Illes;Enfermedades del sistema osteomuscular y del tejido conjuntivo;Nº de APVP;Hombres;157,50
Total Nacional;04 Balears, Illes;Enfermedades del sistema osteomuscular y del tejido conjuntivo;Nº de APVP;Mujeres;50,00
Total Nacional;04 Balears, Illes;Enfermedades del sistema osteomuscular y del tejido conjuntivo;Distribución por capítulos de la CIE;Hombres;0,46
Total Nacional;04 Balears, Illes;Enfermedades del sistema osteomuscular y del tejido conjuntivo;Distribución por capítulos de la CIE;Mujeres;0,28
Total Nacional;04 Balears, Illes;Enfermedades del sistema osteomuscular y del tejido conjuntivo;Tasa estandarizada de APVP (tanto por cien mil);Hombres;28,78
Total Nacional;04 Balears, Illes;Enfermedades del sistema osteomuscular y del tejido conjuntivo;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;9,23
Total Nacional;04 Balears, Illes;Enfermedades del sistema osteomuscular y del tejido conjuntivo;Nº medio de APVP;Hombres;12,12
Total Nacional;04 Balears, Illes;Enfermedades del sistema osteomuscular y del tejido conjuntivo;Nº medio de APVP;Mujeres;5,00
Total Nacional;04 Balears, Illes;Enfermedades del sistema genitourinario;Nº de APVP;Hombres;420,00
Total Nacional;04 Balears, Illes;Enfermedades del sistema genitourinario;Nº de APVP;Mujeres;170,00
Total Nacional;04 Balears, Illes;Enfermedades del sistema genitourinario;Distribución por capítulos de la CIE;Hombres;1,23
Total Nacional;04 Balears, Illes;Enfermedades del sistema genitourinario;Distribución por capítulos de la CIE;Mujeres;0,97
Total Nacional;04 Balears, Illes;Enfermedades del sistema genitourinario;Tasa estandarizada de APVP (tanto por cien mil);Hombres;80,80
Total Nacional;04 Balears, Illes;Enfermedades del sistema genitourinario;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;30,41
Total Nacional;04 Balears, Illes;Enfermedades del sistema genitourinario;Nº medio de APVP;Hombres;9,13
Total Nacional;04 Balears, Illes;Enfermedades del sistema genitourinario;Nº medio de APVP;Mujeres;7,73
Total Nacional;04 Balears, Illes;Embarazo, parto y puerperio;Nº de APVP;Hombres;..
Total Nacional;04 Balears, Illes;Embarazo, parto y puerperio;Nº de APVP;Mujeres;37,50
Total Nacional;04 Balears, Illes;Embarazo, parto y puerperio;Distribución por capítulos de la CIE;Hombres;..
Total Nacional;04 Balears, Illes;Embarazo, parto y puerperio;Distribución por capítulos de la CIE;Mujeres;0,21
Total Nacional;04 Balears, Illes;Embarazo, parto y puerperio;Tasa estandarizada de APVP (tanto por cien mil);Hombres;..
Total Nacional;04 Balears, Illes;Embarazo, parto y puerperio;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;5,59
Total Nacional;04 Balears, Illes;Embarazo, parto y puerperio;Nº medio de APVP;Hombres;..
Total Nacional;04 Balears, Illes;Embarazo, parto y puerperio;Nº medio de APVP;Mujeres;37,50
Total Nacional;04 Balears, Illes;Afecciones originadas en el periodo perinatal;Nº de APVP;Hombres;..
Total Nacional;04 Balears, Illes;Afecciones originadas en el periodo perinatal;Nº de APVP;Mujeres;..
Total Nacional;04 Balears, Illes;Afecciones originadas en el periodo perinatal;Distribución por capítulos de la CIE;Hombres;..
Total Nacional;04 Balears, Illes;Afecciones originadas en el periodo perinatal;Distribución por capítulos de la CIE;Mujeres;..
Total Nacional;04 Balears, Illes;Afecciones originadas en el periodo perinatal;Tasa estandarizada de APVP (tanto por cien mil);Hombres;..
Total Nacional;04 Balears, Illes;Afecciones originadas en el periodo perinatal;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;..
Total Nacional;04 Balears, Illes;Afecciones originadas en el periodo perinatal;Nº medio de APVP;Hombres;..
Total Nacional;04 Balears, Illes;Afecciones originadas en el periodo perinatal;Nº medio de APVP;Mujeres;..
Total Nacional;04 Balears, Illes;Malformaciones congénitas, deformidades y anomalías cromosómicas;Nº de APVP;Hombres;127,50
Total Nacional;04 Balears, Illes;Malformaciones congénitas, deformidades y anomalías cromosómicas;Nº de APVP;Mujeres;237,50
Total Nacional;04 Balears, Illes;Malformaciones congénitas, deformidades y anomalías cromosómicas;Distribución por capítulos de la CIE;Hombres;0,37
Total Nacional;04 Balears, Illes;Malformaciones congénitas, deformidades y anomalías cromosómicas;Distribución por capítulos de la CIE;Mujeres;1,35
Total Nacional;04 Balears, Illes;Malformaciones congénitas, deformidades y anomalías cromosómicas;Tasa estandarizada de APVP (tanto por cien mil);Hombres;21,13
Total Nacional;04 Balears, Illes;Malformaciones congénitas, deformidades y anomalías cromosómicas;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;41,69
Total Nacional;04 Balears, Illes;Malformaciones congénitas, deformidades y anomalías cromosómicas;Nº medio de APVP;Hombres;25,50
Total Nacional;04 Balears, Illes;Malformaciones congénitas, deformidades y anomalías cromosómicas;Nº medio de APVP;Mujeres;26,39
Total Nacional;04 Balears, Illes;Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;Nº de APVP;Hombres;1.312,50
Total Nacional;04 Balears, Illes;Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;Nº de APVP;Mujeres;440,00
Total Nacional;04 Balears, Illes;Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;Distribución por capítulos de la CIE;Hombres;3,83
Total Nacional;04 Balears, Illes;Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;Distribución por capítulos de la CIE;Mujeres;2,50
Total Nacional;04 Balears, Illes;Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;Tasa estandarizada de APVP (tanto por cien mil);Hombres;205,05
Total Nacional;04 Balears, Illes;Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;73,40
Total Nacional;04 Balears, Illes;Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;Nº medio de APVP;Hombres;24,76
Total Nacional;04 Balears, Illes;Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;Nº medio de APVP;Mujeres;24,44
Total Nacional;04 Balears, Illes;Causas externas de mortalidad;Nº de APVP;Hombres;6.058,50
Total Nacional;04 Balears, Illes;Causas externas de mortalidad;Nº de APVP;Mujeres;1.957,50
Total Nacional;04 Balears, Illes;Causas externas de mortalidad;Distribución por capítulos de la CIE;Hombres;17,69
Total Nacional;04 Balears, Illes;Causas externas de mortalidad;Distribución por capítulos de la CIE;Mujeres;11,14
Total Nacional;04 Balears, Illes;Causas externas de mortalidad;Tasa estandarizada de APVP (tanto por cien mil);Hombres;987,67
Total Nacional;04 Balears, Illes;Causas externas de mortalidad;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;332,89
Total Nacional;04 Balears, Illes;Causas externas de mortalidad;Nº medio de APVP;Hombres;29,70
Total Nacional;04 Balears, Illes;Causas externas de mortalidad;Nº medio de APVP;Mujeres;22,50
Total Nacional;05 Canarias;Enfermedades infecciosas y parasitarias;Nº de APVP;Hombres;2.057,00
Total Nacional;05 Canarias;Enfermedades infecciosas y parasitarias;Nº de APVP;Mujeres;1.172,50
Total Nacional;05 Canarias;Enfermedades infecciosas y parasitarias;Distribución por capítulos de la CIE;Hombres;2,75
Total Nacional;05 Canarias;Enfermedades infecciosas y parasitarias;Distribución por capítulos de la CIE;Mujeres;2,66
Total Nacional;05 Canarias;Enfermedades infecciosas y parasitarias;Tasa estandarizada de APVP (tanto por cien mil);Hombres;186,29
Total Nacional;05 Canarias;Enfermedades infecciosas y parasitarias;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;104,80
Total Nacional;05 Canarias;Enfermedades infecciosas y parasitarias;Nº medio de APVP;Hombres;13,10
Total Nacional;05 Canarias;Enfermedades infecciosas y parasitarias;Nº medio de APVP;Mujeres;13,79
Total Nacional;05 Canarias;Tumores;Nº de APVP;Hombres;24.752,00
Total Nacional;05 Canarias;Tumores;Nº de APVP;Mujeres;19.547,50
Total Nacional;05 Canarias;Tumores;Distribución por capítulos de la CIE;Hombres;33,04
Total Nacional;05 Canarias;Tumores;Distribución por capítulos de la CIE;Mujeres;44,33
Total Nacional;05 Canarias;Tumores;Tasa estandarizada de APVP (tanto por cien mil);Hombres;2.201,62
Total Nacional;05 Canarias;Tumores;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;1.646,37
Total Nacional;05 Canarias;Tumores;Nº medio de APVP;Hombres;12,86
Total Nacional;05 Canarias;Tumores;Nº medio de APVP;Mujeres;15,24
Total Nacional;05 Canarias;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Nº de APVP;Hombres;227,50
Total Nacional;05 Canarias;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Nº de APVP;Mujeres;115,00
Total Nacional;05 Canarias;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Distribución por capítulos de la CIE;Hombres;0,30
Total Nacional;05 Canarias;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Distribución por capítulos de la CIE;Mujeres;0,26
Total Nacional;05 Canarias;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Tasa estandarizada de APVP (tanto por cien mil);Hombres;22,02
Total Nacional;05 Canarias;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;9,57
Total Nacional;05 Canarias;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Nº medio de APVP;Hombres;17,50
Total Nacional;05 Canarias;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Nº medio de APVP;Mujeres;9,58
Total Nacional;05 Canarias;Enfermedades endocrinas, nutricionales y metabólicas;Nº de APVP;Hombres;1.572,50
Total Nacional;05 Canarias;Enfermedades endocrinas, nutricionales y metabólicas;Nº de APVP;Mujeres;1.032,00
Total Nacional;05 Canarias;Enfermedades endocrinas, nutricionales y metabólicas;Distribución por capítulos de la CIE;Hombres;2,10
Total Nacional;05 Canarias;Enfermedades endocrinas, nutricionales y metabólicas;Distribución por capítulos de la CIE;Mujeres;2,34
Total Nacional;05 Canarias;Enfermedades endocrinas, nutricionales y metabólicas;Tasa estandarizada de APVP (tanto por cien mil);Hombres;140,78
Total Nacional;05 Canarias;Enfermedades endocrinas, nutricionales y metabólicas;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;95,18
Total Nacional;05 Canarias;Enfermedades endocrinas, nutricionales y metabólicas;Nº medio de APVP;Hombres;11,82
Total Nacional;05 Canarias;Enfermedades endocrinas, nutricionales y metabólicas;Nº medio de APVP;Mujeres;10,86
Total Nacional;05 Canarias;Trastornos mentales y del comportamiento;Nº de APVP;Hombres;692,50
Total Nacional;05 Canarias;Trastornos mentales y del comportamiento;Nº de APVP;Mujeres;362,50
Total Nacional;05 Canarias;Trastornos mentales y del comportamiento;Distribución por capítulos de la CIE;Hombres;0,92
Total Nacional;05 Canarias;Trastornos mentales y del comportamiento;Distribución por capítulos de la CIE;Mujeres;0,82
Total Nacional;05 Canarias;Trastornos mentales y del comportamiento;Tasa estandarizada de APVP (tanto por cien mil);Hombres;67,38
Total Nacional;05 Canarias;Trastornos mentales y del comportamiento;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;34,10
Total Nacional;05 Canarias;Trastornos mentales y del comportamiento;Nº medio de APVP;Hombres;7,61
Total Nacional;05 Canarias;Trastornos mentales y del comportamiento;Nº medio de APVP;Mujeres;6,84
Total Nacional;05 Canarias;Enfermedades del sistema nervioso y de los órganos de los sentidos;Nº de APVP;Hombres;2.757,50
Total Nacional;05 Canarias;Enfermedades del sistema nervioso y de los órganos de los sentidos;Nº de APVP;Mujeres;1.945,00
Total Nacional;05 Canarias;Enfermedades del sistema nervioso y de los órganos de los sentidos;Distribución por capítulos de la CIE;Hombres;3,68
Total Nacional;05 Canarias;Enfermedades del sistema nervioso y de los órganos de los sentidos;Distribución por capítulos de la CIE;Mujeres;4,41
Total Nacional;05 Canarias;Enfermedades del sistema nervioso y de los órganos de los sentidos;Tasa estandarizada de APVP (tanto por cien mil);Hombres;259,62
Total Nacional;05 Canarias;Enfermedades del sistema nervioso y de los órganos de los sentidos;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;175,13
Total Nacional;05 Canarias;Enfermedades del sistema nervioso y de los órganos de los sentidos;Nº medio de APVP;Hombres;14,44
Total Nacional;05 Canarias;Enfermedades del sistema nervioso y de los órganos de los sentidos;Nº medio de APVP;Mujeres;12,31
Total Nacional;05 Canarias;Enfermedades del sistema circulatorio;Nº de APVP;Hombres;16.270,00
Total Nacional;05 Canarias;Enfermedades del sistema circulatorio;Nº de APVP;Mujeres;7.962,50
Total Nacional;05 Canarias;Enfermedades del sistema circulatorio;Distribución por capítulos de la CIE;Hombres;21,72
Total Nacional;05 Canarias;Enfermedades del sistema circulatorio;Distribución por capítulos de la CIE;Mujeres;18,06
Total Nacional;05 Canarias;Enfermedades del sistema circulatorio;Tasa estandarizada de APVP (tanto por cien mil);Hombres;1.434,79
Total Nacional;05 Canarias;Enfermedades del sistema circulatorio;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;676,87
Total Nacional;05 Canarias;Enfermedades del sistema circulatorio;Nº medio de APVP;Hombres;13,18
Total Nacional;05 Canarias;Enfermedades del sistema circulatorio;Nº medio de APVP;Mujeres;12,01
Total Nacional;05 Canarias;Enfermedades del sistema respiratorio;Nº de APVP;Hombres;6.130,00
Total Nacional;05 Canarias;Enfermedades del sistema respiratorio;Nº de APVP;Mujeres;3.265,00
Total Nacional;05 Canarias;Enfermedades del sistema respiratorio;Distribución por capítulos de la CIE;Hombres;8,18
Total Nacional;05 Canarias;Enfermedades del sistema respiratorio;Distribución por capítulos de la CIE;Mujeres;7,40
Total Nacional;05 Canarias;Enfermedades del sistema respiratorio;Tasa estandarizada de APVP (tanto por cien mil);Hombres;564,19
Total Nacional;05 Canarias;Enfermedades del sistema respiratorio;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;284,43
Total Nacional;05 Canarias;Enfermedades del sistema respiratorio;Nº medio de APVP;Hombres;11,44
Total Nacional;05 Canarias;Enfermedades del sistema respiratorio;Nº medio de APVP;Mujeres;11,26
Total Nacional;05 Canarias;Enfermedades del sistema digestivo;Nº de APVP;Hombres;4.412,50
Total Nacional;05 Canarias;Enfermedades del sistema digestivo;Nº de APVP;Mujeres;2.344,50
Total Nacional;05 Canarias;Enfermedades del sistema digestivo;Distribución por capítulos de la CIE;Hombres;5,89
Total Nacional;05 Canarias;Enfermedades del sistema digestivo;Distribución por capítulos de la CIE;Mujeres;5,32
Total Nacional;05 Canarias;Enfermedades del sistema digestivo;Tasa estandarizada de APVP (tanto por cien mil);Hombres;387,35
Total Nacional;05 Canarias;Enfermedades del sistema digestivo;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;206,02
Total Nacional;05 Canarias;Enfermedades del sistema digestivo;Nº medio de APVP;Hombres;14,10
Total Nacional;05 Canarias;Enfermedades del sistema digestivo;Nº medio de APVP;Mujeres;13,17
Total Nacional;05 Canarias;Enfermedades de la piel y del tejido subcutáneo;Nº de APVP;Hombres;180,00
Total Nacional;05 Canarias;Enfermedades de la piel y del tejido subcutáneo;Nº de APVP;Mujeres;217,50
Total Nacional;05 Canarias;Enfermedades de la piel y del tejido subcutáneo;Distribución por capítulos de la CIE;Hombres;0,24
Total Nacional;05 Canarias;Enfermedades de la piel y del tejido subcutáneo;Distribución por capítulos de la CIE;Mujeres;0,49
Total Nacional;05 Canarias;Enfermedades de la piel y del tejido subcutáneo;Tasa estandarizada de APVP (tanto por cien mil);Hombres;17,73
Total Nacional;05 Canarias;Enfermedades de la piel y del tejido subcutáneo;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;19,95
Total Nacional;05 Canarias;Enfermedades de la piel y del tejido subcutáneo;Nº medio de APVP;Hombres;7,50
Total Nacional;05 Canarias;Enfermedades de la piel y del tejido subcutáneo;Nº medio de APVP;Mujeres;10,36
Total Nacional;05 Canarias;Enfermedades del sistema osteomuscular y del tejido conjuntivo;Nº de APVP;Hombres;314,50
Total Nacional;05 Canarias;Enfermedades del sistema osteomuscular y del tejido conjuntivo;Nº de APVP;Mujeres;267,50
Total Nacional;05 Canarias;Enfermedades del sistema osteomuscular y del tejido conjuntivo;Distribución por capítulos de la CIE;Hombres;0,42
Total Nacional;05 Canarias;Enfermedades del sistema osteomuscular y del tejido conjuntivo;Distribución por capítulos de la CIE;Mujeres;0,61
Total Nacional;05 Canarias;Enfermedades del sistema osteomuscular y del tejido conjuntivo;Tasa estandarizada de APVP (tanto por cien mil);Hombres;33,45
Total Nacional;05 Canarias;Enfermedades del sistema osteomuscular y del tejido conjuntivo;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;21,91
Total Nacional;05 Canarias;Enfermedades del sistema osteomuscular y del tejido conjuntivo;Nº medio de APVP;Hombres;13,10
Total Nacional;05 Canarias;Enfermedades del sistema osteomuscular y del tejido conjuntivo;Nº medio de APVP;Mujeres;14,08
Total Nacional;05 Canarias;Enfermedades del sistema genitourinario;Nº de APVP;Hombres;855,00
Total Nacional;05 Canarias;Enfermedades del sistema genitourinario;Nº de APVP;Mujeres;665,00
Total Nacional;05 Canarias;Enfermedades del sistema genitourinario;Distribución por capítulos de la CIE;Hombres;1,14
Total Nacional;05 Canarias;Enfermedades del sistema genitourinario;Distribución por capítulos de la CIE;Mujeres;1,51
Total Nacional;05 Canarias;Enfermedades del sistema genitourinario;Tasa estandarizada de APVP (tanto por cien mil);Hombres;82,61
Total Nacional;05 Canarias;Enfermedades del sistema genitourinario;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;60,01
Total Nacional;05 Canarias;Enfermedades del sistema genitourinario;Nº medio de APVP;Hombres;8,38
Total Nacional;05 Canarias;Enfermedades del sistema genitourinario;Nº medio de APVP;Mujeres;8,53
Total Nacional;05 Canarias;Embarazo, parto y puerperio;Nº de APVP;Hombres;..
Total Nacional;05 Canarias;Embarazo, parto y puerperio;Nº de APVP;Mujeres;80,00
Total Nacional;05 Canarias;Embarazo, parto y puerperio;Distribución por capítulos de la CIE;Hombres;..
Total Nacional;05 Canarias;Embarazo, parto y puerperio;Distribución por capítulos de la CIE;Mujeres;0,18
Total Nacional;05 Canarias;Embarazo, parto y puerperio;Tasa estandarizada de APVP (tanto por cien mil);Hombres;..
Total Nacional;05 Canarias;Embarazo, parto y puerperio;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;7,31
Total Nacional;05 Canarias;Embarazo, parto y puerperio;Nº medio de APVP;Hombres;..
Total Nacional;05 Canarias;Embarazo, parto y puerperio;Nº medio de APVP;Mujeres;40,00
Total Nacional;05 Canarias;Afecciones originadas en el periodo perinatal;Nº de APVP;Hombres;..
Total Nacional;05 Canarias;Afecciones originadas en el periodo perinatal;Nº de APVP;Mujeres;37,50
Total Nacional;05 Canarias;Afecciones originadas en el periodo perinatal;Distribución por capítulos de la CIE;Hombres;..
Total Nacional;05 Canarias;Afecciones originadas en el periodo perinatal;Distribución por capítulos de la CIE;Mujeres;0,09
Total Nacional;05 Canarias;Afecciones originadas en el periodo perinatal;Tasa estandarizada de APVP (tanto por cien mil);Hombres;..
Total Nacional;05 Canarias;Afecciones originadas en el periodo perinatal;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;3,18
Total Nacional;05 Canarias;Afecciones originadas en el periodo perinatal;Nº medio de APVP;Hombres;..
Total Nacional;05 Canarias;Afecciones originadas en el periodo perinatal;Nº medio de APVP;Mujeres;37,50
Total Nacional;05 Canarias;Malformaciones congénitas, deformidades y anomalías cromosómicas;Nº de APVP;Hombres;377,00
Total Nacional;05 Canarias;Malformaciones congénitas, deformidades y anomalías cromosómicas;Nº de APVP;Mujeres;657,50
Total Nacional;05 Canarias;Malformaciones congénitas, deformidades y anomalías cromosómicas;Distribución por capítulos de la CIE;Hombres;0,50
Total Nacional;05 Canarias;Malformaciones congénitas, deformidades y anomalías cromosómicas;Distribución por capítulos de la CIE;Mujeres;1,49
Total Nacional;05 Canarias;Malformaciones congénitas, deformidades y anomalías cromosómicas;Tasa estandarizada de APVP (tanto por cien mil);Hombres;37,07
Total Nacional;05 Canarias;Malformaciones congénitas, deformidades y anomalías cromosómicas;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;61,13
Total Nacional;05 Canarias;Malformaciones congénitas, deformidades y anomalías cromosómicas;Nº medio de APVP;Hombres;34,27
Total Nacional;05 Canarias;Malformaciones congénitas, deformidades y anomalías cromosómicas;Nº medio de APVP;Mujeres;34,61
Total Nacional;05 Canarias;Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;Nº de APVP;Hombres;2.642,00
Total Nacional;05 Canarias;Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;Nº de APVP;Mujeres;1.184,50
Total Nacional;05 Canarias;Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;Distribución por capítulos de la CIE;Hombres;3,53
Total Nacional;05 Canarias;Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;Distribución por capítulos de la CIE;Mujeres;2,69
Total Nacional;05 Canarias;Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;Tasa estandarizada de APVP (tanto por cien mil);Hombres;238,34
Total Nacional;05 Canarias;Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;105,66
Total Nacional;05 Canarias;Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;Nº medio de APVP;Hombres;22,20
Total Nacional;05 Canarias;Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;Nº medio de APVP;Mujeres;17,95
Total Nacional;05 Canarias;Causas externas de mortalidad;Nº de APVP;Hombres;11.684,50
Total Nacional;05 Canarias;Causas externas de mortalidad;Nº de APVP;Mujeres;3.237,00
Total Nacional;05 Canarias;Causas externas de mortalidad;Distribución por capítulos de la CIE;Hombres;15,60
Total Nacional;05 Canarias;Causas externas de mortalidad;Distribución por capítulos de la CIE;Mujeres;7,34
Total Nacional;05 Canarias;Causas externas de mortalidad;Tasa estandarizada de APVP (tanto por cien mil);Hombres;1.023,89
Total Nacional;05 Canarias;Causas externas de mortalidad;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;289,15
Total Nacional;05 Canarias;Causas externas de mortalidad;Nº medio de APVP;Hombres;27,05
Total Nacional;05 Canarias;Causas externas de mortalidad;Nº medio de APVP;Mujeres;22,02
Total Nacional;06 Cantabria;Enfermedades infecciosas y parasitarias;Nº de APVP;Hombres;340,00
Total Nacional;06 Cantabria;Enfermedades infecciosas y parasitarias;Nº de APVP;Mujeres;90,00
Total Nacional;06 Cantabria;Enfermedades infecciosas y parasitarias;Distribución por capítulos de la CIE;Hombres;1,83
Total Nacional;06 Cantabria;Enfermedades infecciosas y parasitarias;Distribución por capítulos de la CIE;Mujeres;0,89
Total Nacional;06 Cantabria;Enfermedades infecciosas y parasitarias;Tasa estandarizada de APVP (tanto por cien mil);Hombres;114,35
Total Nacional;06 Cantabria;Enfermedades infecciosas y parasitarias;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;25,42
Total Nacional;06 Cantabria;Enfermedades infecciosas y parasitarias;Nº medio de APVP;Hombres;10,63
Total Nacional;06 Cantabria;Enfermedades infecciosas y parasitarias;Nº medio de APVP;Mujeres;9,00
Total Nacional;06 Cantabria;Tumores;Nº de APVP;Hombres;7.300,00
Total Nacional;06 Cantabria;Tumores;Nº de APVP;Mujeres;5.715,00
Total Nacional;06 Cantabria;Tumores;Distribución por capítulos de la CIE;Hombres;39,33
Total Nacional;06 Cantabria;Tumores;Distribución por capítulos de la CIE;Mujeres;56,55
Total Nacional;06 Cantabria;Tumores;Tasa estandarizada de APVP (tanto por cien mil);Hombres;2.316,82
Total Nacional;06 Cantabria;Tumores;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;1.699,19
Total Nacional;06 Cantabria;Tumores;Nº medio de APVP;Hombres;11,34
Total Nacional;06 Cantabria;Tumores;Nº medio de APVP;Mujeres;13,61
Total Nacional;06 Cantabria;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Nº de APVP;Hombres;35,00
Total Nacional;06 Cantabria;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Nº de APVP;Mujeres;5,00
Total Nacional;06 Cantabria;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Distribución por capítulos de la CIE;Hombres;0,19
Total Nacional;06 Cantabria;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Distribución por capítulos de la CIE;Mujeres;0,05
Total Nacional;06 Cantabria;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Tasa estandarizada de APVP (tanto por cien mil);Hombres;11,07
Total Nacional;06 Cantabria;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;1,38
Total Nacional;06 Cantabria;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Nº medio de APVP;Hombres;17,50
Total Nacional;06 Cantabria;Enfermedades sangre y de órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Nº medio de APVP;Mujeres;2,50
Total Nacional;06 Cantabria;Enfermedades endocrinas, nutricionales y metabólicas;Nº de APVP;Hombres;465,00
Total Nacional;06 Cantabria;Enfermedades endocrinas, nutricionales y metabólicas;Nº de APVP;Mujeres;280,00
Total Nacional;06 Cantabria;Enfermedades endocrinas, nutricionales y metabólicas;Distribución por capítulos de la CIE;Hombres;2,51
Total Nacional;06 Cantabria;Enfermedades endocrinas, nutricionales y metabólicas;Distribución por capítulos de la CIE;Mujeres;2,77
Total Nacional;06 Cantabria;Enfermedades endocrinas, nutricionales y metabólicas;Tasa estandarizada de APVP (tanto por cien mil);Hombres;143,24
