Causas (lista reducida);Sexo;Provincia de residencia;Total
001-102 I-XXII.Todas las causas;Hombres;Total;249.664
001-102 I-XXII.Todas las causas;Hombres;02 Albacete;2.472
001-102 I-XXII.Todas las causas;Hombres;03 Alicante/Alacant;9.381
001-102 I-XXII.Todas las causas;Hombres;04 Almería;3.051
001-102 I-XXII.Todas las causas;Hombres;01 Araba/Álava;1.717
001-102 I-XXII.Todas las causas;Hombres;33 Asturias;7.073
001-102 I-XXII.Todas las causas;Hombres;05 Ávila;1.304
001-102 I-XXII.Todas las causas;Hombres;06 Badajoz;3.801
001-102 I-XXII.Todas las causas;Hombres;07 Balears, Illes;4.447
001-102 I-XXII.Todas las causas;Hombres;08 Barcelona;29.404
001-102 I-XXII.Todas las causas;Hombres;48 Bizkaia;6.532
001-102 I-XXII.Todas las causas;Hombres;09 Burgos;2.441
001-102 I-XXII.Todas las causas;Hombres;10 Cáceres;2.816
001-102 I-XXII.Todas las causas;Hombres;11 Cádiz;5.914
001-102 I-XXII.Todas las causas;Hombres;39 Cantabria;3.176
001-102 I-XXII.Todas las causas;Hombres;12 Castellón/Castelló;2.892
001-102 I-XXII.Todas las causas;Hombres;13 Ciudad Real;3.518
001-102 I-XXII.Todas las causas;Hombres;14 Córdoba;4.132
001-102 I-XXII.Todas las causas;Hombres;15 Coruña, A;6.403
001-102 I-XXII.Todas las causas;Hombres;16 Cuenca;1.651
001-102 I-XXII.Todas las causas;Hombres;20 Gipuzkoa;3.809
001-102 I-XXII.Todas las causas;Hombres;17 Girona;3.618
001-102 I-XXII.Todas las causas;Hombres;18 Granada;4.819
001-102 I-XXII.Todas las causas;Hombres;19 Guadalajara;1.497
001-102 I-XXII.Todas las causas;Hombres;21 Huelva;2.421
001-102 I-XXII.Todas las causas;Hombres;22 Huesca;1.486
001-102 I-XXII.Todas las causas;Hombres;23 Jaén;3.666
001-102 I-XXII.Todas las causas;Hombres;24 León;3.822
001-102 I-XXII.Todas las causas;Hombres;25 Lleida;2.513
001-102 I-XXII.Todas las causas;Hombres;27 Lugo;2.497
001-102 I-XXII.Todas las causas;Hombres;28 Madrid;33.105
001-102 I-XXII.Todas las causas;Hombres;29 Málaga;7.388
001-102 I-XXII.Todas las causas;Hombres;30 Murcia;6.456
001-102 I-XXII.Todas las causas;Hombres;31 Navarra;3.345
001-102 I-XXII.Todas las causas;Hombres;32 Ourense;2.533
001-102 I-XXII.Todas las causas;Hombres;34 Palencia;1.308
001-102 I-XXII.Todas las causas;Hombres;35 Palmas, Las;4.481
001-102 I-XXII.Todas las causas;Hombres;36 Pontevedra;4.841
001-102 I-XXII.Todas las causas;Hombres;26 Rioja, La;1.893
001-102 I-XXII.Todas las causas;Hombres;37 Salamanca;2.597
001-102 I-XXII.Todas las causas;Hombres;38 Santa Cruz de Tenerife;4.284
001-102 I-XXII.Todas las causas;Hombres;40 Segovia;1.233
001-102 I-XXII.Todas las causas;Hombres;41 Sevilla;8.889
001-102 I-XXII.Todas las causas;Hombres;42 Soria;766
001-102 I-XXII.Todas las causas;Hombres;43 Tarragona;4.293
001-102 I-XXII.Todas las causas;Hombres;44 Teruel;1.032
001-102 I-XXII.Todas las causas;Hombres;45 Toledo;4.133
001-102 I-XXII.Todas las causas;Hombres;46 Valencia/València;12.855
001-102 I-XXII.Todas las causas;Hombres;47 Valladolid;3.088
001-102 I-XXII.Todas las causas;Hombres;49 Zamora;1.598
001-102 I-XXII.Todas las causas;Hombres;50 Zaragoza;5.727
001-102 I-XXII.Todas las causas;Hombres;51 Ceuta;320
001-102 I-XXII.Todas las causas;Hombres;52 Melilla;294
001-102 I-XXII.Todas las causas;Hombres;Extranjero;932
001-102 I-XXII.Todas las causas;Mujeres;Total;244.112
001-102 I-XXII.Todas las causas;Mujeres;02 Albacete;2.396
001-102 I-XXII.Todas las causas;Mujeres;03 Alicante/Alacant;8.174
001-102 I-XXII.Todas las causas;Mujeres;04 Almería;2.647
001-102 I-XXII.Todas las causas;Mujeres;01 Araba/Álava;1.550
001-102 I-XXII.Todas las causas;Mujeres;33 Asturias;7.477
001-102 I-XXII.Todas las causas;Mujeres;05 Ávila;1.233
001-102 I-XXII.Todas las causas;Mujeres;06 Badajoz;3.669
001-102 I-XXII.Todas las causas;Mujeres;07 Balears, Illes;4.112
001-102 I-XXII.Todas las causas;Mujeres;08 Barcelona;30.248
001-102 I-XXII.Todas las causas;Mujeres;48 Bizkaia;6.713
001-102 I-XXII.Todas las causas;Mujeres;09 Burgos;2.336
001-102 I-XXII.Todas las causas;Mujeres;10 Cáceres;2.813
001-102 I-XXII.Todas las causas;Mujeres;11 Cádiz;5.310
001-102 I-XXII.Todas las causas;Mujeres;39 Cantabria;3.291
001-102 I-XXII.Todas las causas;Mujeres;12 Castellón/Castelló;2.793
001-102 I-XXII.Todas las causas;Mujeres;13 Ciudad Real;3.409
001-102 I-XXII.Todas las causas;Mujeres;14 Córdoba;4.167
001-102 I-XXII.Todas las causas;Mujeres;15 Coruña, A;6.470
001-102 I-XXII.Todas las causas;Mujeres;16 Cuenca;1.526
001-102 I-XXII.Todas las causas;Mujeres;20 Gipuzkoa;3.931
001-102 I-XXII.Todas las causas;Mujeres;17 Girona;3.592
001-102 I-XXII.Todas las causas;Mujeres;18 Granada;4.780
001-102 I-XXII.Todas las causas;Mujeres;19 Guadalajara;1.300
001-102 I-XXII.Todas las causas;Mujeres;21 Huelva;2.275
001-102 I-XXII.Todas las causas;Mujeres;22 Huesca;1.402
001-102 I-XXII.Todas las causas;Mujeres;23 Jaén;3.690
001-102 I-XXII.Todas las causas;Mujeres;24 León;3.815
001-102 I-XXII.Todas las causas;Mujeres;25 Lleida;2.346
001-102 I-XXII.Todas las causas;Mujeres;27 Lugo;2.596
001-102 I-XXII.Todas las causas;Mujeres;28 Madrid;33.543
001-102 I-XXII.Todas las causas;Mujeres;29 Málaga;6.786
001-102 I-XXII.Todas las causas;Mujeres;30 Murcia;5.936
001-102 I-XXII.Todas las causas;Mujeres;31 Navarra;3.317
001-102 I-XXII.Todas las causas;Mujeres;32 Ourense;2.575
001-102 I-XXII.Todas las causas;Mujeres;34 Palencia;1.277
